날짜,댓글,조회수,좋아요,싫어요
2021-04-02 13:53,조용병,113,0,0
2021-06-08 14:29,kb랑  만  천원 차이,388,1,0
2020-11-19 12:21,오늘같은날이 매수적기네요,503,3,4
2020-09-09 20:15,신한은행 뉴스 나오네요,541,0,1
2021-05-18 06:11,기초생활수급자 의료급여 및 재난적 의료비   ,117,0,0
2021-01-11 10:06,이거 왜빨강이냐 돈잃게하고 지들은 돈버네,86,0,0
2021-02-18 08:49,  총유통주식    매입소각과 분기배당    ,161,4,0
2022-05-14 18:33,월요일장 하락에 베팅합니다,378,1,6
2022-02-17 11:54,상한가 가자        ,115,0,0
2021-04-22 17:03,낼상승시매도,214,2,0
2020-10-30 15:31,  만개,445,0,0
2020-10-29 15:06,어제 킥보드 사니라고     는데 오늘    ,221,0,0
2020-09-22 11:46,혼자 가지가지한다 진짜   ,136,5,0
2020-10-09 16:21,주가 회복방안을 알려준다 ,309,12,0
2022-01-21 15:08,좀 가보자,131,0,0
2021-02-08 10:52,L키움증권 개미들만 계속파네,160,2,0
2022-03-23 17:20,찬티바글바글   매도할때다,186,2,3
2020-09-09 10:55,은행주 중 제일 주식,150,1,0
2020-09-14 08:58,하나에 역전  ,151,1,0
2021-10-07 13:29,흐른다 흘러   죽는다 죽어  누구  거   ,112,1,0
2021-03-24 14:20,신한지주 경영인들은,127,2,0
2020-10-23 09:12,배당까지는 버티는게 맞는거고 안파는거임 ,264,1,1
2021-06-14 09:04,  총유통주식    매입소각과 분기배당    ,220,1,0
2020-10-28 20:10,에이 아직 저평가죠,288,3,1
2020-11-04 11:59,때가 왔다,191,1,0
2020-08-10 20:48,지폐개수기 시험작동중,234,3,1
2021-07-01 12:21,신한 저주가 시작   ,107,2,0
2021-07-05 14:53,     은뚫리면안된다,163,0,0
2021-01-29 11:05, 주간 신한  외인 소진율 변화는       ,240,2,0
2020-11-17 19:49,답글 흑우들아 울부 짖어라,152,4,0
2021-06-24 11:34,하나      상승인데,124,3,0
2020-11-16 11:07,작년 주당 배당금 얼마였나요 ,891,1,0
2021-03-08 10:12,신한잡주      뚫자,134,1,0
2021-11-23 09:28,이번주       보겠는데    ,89,0,2
2020-10-08 16:12,진정한 개미무덤,234,0,1
2022-01-13 11:39,허구한날  ,110,5,0
2020-12-23 23:37,주린이 인가 ,239,7,0
2021-11-16 08:45,  회사와 회장만 배터지게 잘사는 골때리   ,153,3,0
2021-05-15 08:14,그게 뭐 별거라고 ,335,6,0
2020-10-27 18:08,폭등,420,9,4
2021-01-11 11:44,간편인증,213,0,0
2020-09-11 10:01,야이 신한 임직원들,156,1,0
2020-09-05 12:34,화요일 IR 왜 하겠냐  걱정마   ,278,2,0
2021-03-04 10:39,이제 출발 ,242,1,0
2020-07-04 03:17,근데 괜찮음 월요일에,746,9,6
2021-06-07 14:22,베트남 시티은행 매입,238,0,0
2021-08-06 15:43,    띨띨이 신한지주  ,262,6,1
2020-09-20 23:23,외궈들아    많이 팔았자나   ,250,1,1
2021-07-28 08:34,주주에게 이러게 소홀해서야  ,172,2,0
2021-10-24 12:17,  주주가치 훼손한 조염병에게 천벌이 내   ,249,7,0
2021-06-29 09:42,금년 사상 최대의 배당금이 나올 것으로    ,209,0,0
2020-12-22 13:20,신한쥬지야 발기좀해봐라   ,160,0,1
2020-12-04 19:33,대박,869,14,1
2020-09-01 15:57,  요놈이 오르니 그만큼 삼전이 떨구네,180,0,0
2020-08-03 22:39,이제는 금융주를 사야할때 ,552,1,3
2021-01-21 10:47,답글 대형은행들 이익공유제가 웬말이냐 ,158,4,0
2020-12-06 18:48,저점잡으려구,343,0,4
2021-03-30 10:22,파랑 나와도 좋다  적극추매기회당,93,1,0
2021-03-12 17:48,용병지주,279,3,3
2020-06-03 14:11,신한지주 배당금 알고 넘어가자 ,490,0,0
2020-09-06 11:16,일단 우호지분  에   만족한다  그러나   ,324,5,1
2020-10-06 15:39,  월내내 외인매도하면,244,4,1
2021-03-10 00:35,미장 기술주 폭등,190,4,1
2020-11-27 17:02,코스피      최고경신,191,4,0
2020-08-11 23:36,뱅크오브아메리카   이상 개떡상,382,3,5
2022-03-22 13:29,외국인순매도 위 신한지주,299,5,0
2020-07-29 09:33,손절도 못하게 희망주며 서서히 죽여가네요,174,1,1
2022-03-11 14:40,석열이형 배당 제한 눈치주지마,237,5,1
2020-10-21 11:19,잘생각 해보세요,232,1,0
2020-11-09 20:35,내일 예상,259,1,3
2022-04-12 09:37,분기배당도 주고  ,299,4,1
2021-07-23 15:17,야    ,249,6,2
