날짜,댓글,조회수,좋아요,싫어요
2021-10-29 15:08,역시 외인,249,1,0
2022-02-17 23:17,보아하니 낼도 걸렀다,416,1,0
2022-04-06 08:05,오늘은   만 지지하기 힘들꺼다,261,1,1
2021-05-24 15:12,아죽 외인들 돌아가면서 패대기,376,1,0
2021-03-23 09:11,         염성전기,311,1,0
2022-03-14 10:37,삼기 분봉상       하락파  가네,370,0,0
2021-11-16 15:04,이거 왜사요 ,817,10,7
2022-06-08 17:18,오  대박  ,290,1,0
2021-09-09 11:27,개썩을,342,3,0
2021-10-18 18:37,답글 선무당짓거리 그만하고,407,1,0
2021-05-31 10:19,자 드가자 ,279,0,0
2022-03-05 17:44,전세계 주요국 주말증시,491,2,5
2020-07-10 13:02,투신 이랑  jp모간 이랑   주고 받기,454,0,0
2021-04-28 22:33,  년 삼전기 윌봉규칙,369,3,6
2022-05-31 16:03,msci 리벨런싱,558,0,0
2021-10-15 15:41,개미시끼랑 외인 팔았네,371,1,0
2022-06-09 13:36,눈치 빠른놈 들어왔습니다,370,3,1
2021-08-13 09:05,너도 형님따라 PBR 배인   만수준으로,215,0,1
2021-04-14 10:34,주가가 내려가는데 왜 개인만 더 살까요 ,596,1,1
2021-01-07 13:56,아휴 밀리네 다시 기분 드러워짐,314,4,0
2022-06-22 15:43,흑흑 미쳐,128,0,1
2022-07-06 14:07,기자가 국민을 대신해 인사문제 물어보니까   ,275,4,0
2020-09-03 11:51, 분기 실적이 좋은거같은데 주가는 안가네   ,439,3,3
2022-06-06 10:35,답글 그건 여지껏  중국봉쇄의 결과물의 챠트,318,0,0
2022-02-24 16:35,삼성전기   년내내 전쟁중 제자리 폭격    ,452,2,0
2020-11-19 09:16,흑우들 탈출기회여,547,3,2
2021-10-13 10:43,외인들 공매,323,0,2
2022-04-19 10:05,외계인들 또던지네,358,0,0
2022-05-27 15:12,존맛탱 OOO 주식,301,2,0
2021-07-27 14:31,뒤통수 개퍽락 가자 ,459,1,4
2022-01-17 09:27,답글  삭제된 게시물의 답글 정말 미치것읍니다   ,421,0,1
2021-02-16 10:19,최고의 실적,413,2,0
2021-12-01 01:14,나스닥 개떡락,391,0,1
2021-08-17 09:56,테이퍼링 끝날때쯤 주가 움직인다,380,0,3
2021-07-15 11:36,주가가 추하다,476,3,0
2021-11-10 10:40,삼성전기 바닥,457,0,2
2021-10-14 13:22,봐바 내려올줄알았어   ,305,2,1
2021-04-30 11:04,아싸   바닥을 칠 때 사리라  ,172,1,1
2022-02-15 14:02,아직 비싸다,512,3,0
2020-07-03 12:13,착시,587,1,1
2021-03-25 15:14,매물 흡수하고 보합 혹은 보합 근처면,223,1,0
2021-05-31 10:02,삼성전기 보유하고계시다면 체크,266,0,2
2021-07-12 11:42,오후 장 분위기가 심상치 않다,645,3,2
2022-05-25 09:28,이거,273,0,0
2022-03-29 12:24,mlcc때려치고 사료라도 만들어 팔아라,370,4,1
2021-05-24 11:13,이야,314,0,0
2020-12-18 17:17,문대통령 각하의말씀   국민여러분       ,467,12,11
2022-02-04 14:44,아직,504,5,4
2021-05-14 11:38,반등은 끝나고    개스피 개퍽락가자,202,0,1
2022-04-20 10:40,모간은 오늘 사서 내일 파는 놈임 ,407,3,2
2021-01-13 15:04,양아치종목,257,1,0
2021-09-14 12:46,오늘 좀  ,626,13,1
2021-07-08 08:58,오늘도 염부랄 한번 믿어보자,296,1,0
2022-02-14 10:48,도망,499,7,0
2021-03-22 10:28,      ,1249,2,6
2022-03-23 09:14,오늘 공매도 물량,425,1,1
2022-04-13 10:27,매도,439,2,0
2021-06-25 14:02,종가 마이너스 확정,280,4,0
2022-04-01 10:00,이 개잡주는 오른것도없는데 내리기만하네,352,3,0
2022-05-31 14:03,Ubs 제피 모건에게 빅엿선사,440,1,1
2022-06-09 09:31,키움매수 프로그램 매도 까지,245,1,1
2022-06-20 19:03,주가 높네,259,3,1
2020-08-04 21:32,삼기가 이제,692,4,4
2021-05-17 12:49,울려고 내가 왔던가 웃을려고  왔던가,202,0,1
2021-11-23 09:58,일부러 개미턴건가  ,581,0,1
2022-07-09 03:34,코스피   이  만기날     에 끝나면,644,4,3
2021-08-27 11:48,개아수라  개급락  가자,436,1,0
2021-01-18 09:47,이 천재 퓨어님이라면 계속 사기만한다  ,465,1,1
2022-02-16 08:43,오늘 공매도 장난아니겠네요,362,2,0
2021-07-09 09:11,지금 담아리,370,1,0
2021-07-05 15:01,내 통장에서,273,0,0
2021-01-13 10:33,삼성전기차,238,2,0
2022-07-05 22:50,그냥,153,0,2
2021-03-11 17:39,지금사라 나스닥선물      이다   ,372,4,0
