,날짜,댓글,조회수,좋아요,싫어요
92,2022-07-07 11:28,아 80000원에 1000주 매수 걸어놨...,885,0,1
93,2022-07-07 11:13,이잡주 권오갑 50주. 정기선 500주 ...,700,2,0
94,2022-07-07 11:10,한조  2차전지  진출?,779,2,1
95,2022-07-07 11:08,LNG선 10척 수주,929,10,2
96,2022-07-07 11:07,83000원 100주 매수들어간다,666,2,0
97,2022-07-07 11:04,조선주 관련지표 업그레이드. 대박나시길....,665,0,0
98,2022-07-07 10:41,주가하락,642,0,1
99,2022-07-07 10:06,80800,684,0,0
100,2022-07-07 09:42,6만원,683,0,1
101,2022-07-07 09:37,아무나 이잡주 인수해라.중국 업체도 ok...,720,5,0
102,2022-07-07 09:21,공매도 타겟된듯 ㅋㅋㅋ,731,5,0
103,2022-07-07 09:37,답글:공매도 타겟된듯 ㅋㅋㅋ,746,1,0
104,2022-07-07 09:19,조선주는 계약 해지 여파로 포탄 맞는듯....,872,4,3
105,2022-07-07 09:15,역겨운 정기선,715,7,0
106,2022-07-07 09:14,장후반,691,1,0
107,2022-07-07 09:08,후강 예상,668,0,0
108,2022-07-07 09:06,6만원,708,1,1
109,2022-07-07 09:05,삼성중공업 시총에도 밀릴듯,653,0,0
110,2022-07-07 09:04,그냥 청산하자,649,0,0
111,2022-07-07 09:03,완전공매도,665,0,0
112,2022-07-07 09:03,음봉 실?니까?,641,0,0
113,2022-07-07 08:49,한조 매각만이 답인가,677,0,0
114,2022-07-07 08:38,대구 애들은 행복하겠네,845,12,2
115,2022-07-07 07:36,선무당 하나 잘 못 뽑아서....,845,14,1
116,2022-07-07 03:10,국제경기침체로 유가하락...10프로 하락...,1091,11,0
117,2022-07-06 22:10,내려가면 올라가겠지..다시 올라가자,960,1,0
118,2022-07-06 21:19,왜 이새끼만 업틱룰 예외로 저렇게 던져대...,606,1,0
119,2022-07-06 21:19,아직 놀라지 마라 !,736,0,1
120,2022-07-06 20:49,텍소노미,740,2,0
121,2022-07-06 20:17,개미들은,494,1,0
122,2022-07-06 19:48,지금 이 가격에서 분할 매수하면..,582,1,1
123,2022-07-06 19:40,80000이하때 추매하러 온다,606,0,0
124,2022-07-06 19:08,종가에 살껄~,566,2,1
125,2022-07-06 18:16,즉각 공매도금지해 오늘도 공매도로 폭락했...,640,17,1
126,2022-07-06 17:55,한국조선해양 현대중공업지주,639,12,2
127,2022-07-06 17:45,얼마나 올랐다고 꼬라박냐,529,3,0
128,2022-07-06 17:29,지금사라,547,0,0
129,2022-07-06 17:27,추매로,505,0,0
130,2022-07-06 17:25,철광석 급락~,735,1,0
131,2022-07-06 17:07,주식 바닥잡아준다는 이ㅇㅇ 추천 종목들 ...,600,0,0
132,2022-07-06 17:00,시간과의 싸움 지루하다,562,0,0
133,2022-07-06 16:51,LNG선 3척 계약변경 공시,949,13,1
134,2022-07-06 16:46,경기침제 - 원유수요감소? 악재라고?,583,3,0
