,number,company,2022,2021,2020
183,005257,녹십자홀딩스2우,True,True,True
184,004370,농심,True,True,True
185,072710,농심홀딩스,True,True,True
186,030210,다올투자증권,True,True,True
187,023590,다우기술,True,True,True
188,019680,대교,True,True,True
189,019685,대교우B,True,True,True
190,006370,대구백화점,True,True,True
191,008060,대덕,True,True,True
192,00806K,대덕1우,True,True,True
193,353200,대덕전자,True,False,False
194,35320K,대덕전자1우,True,False,False
195,000490,대동,True,True,True
196,008110,대동전자,True,True,True
197,005750,대림B&Co,True,True,True
198,001680,대상,True,True,True
199,001685,대상우,True,True,True
200,084690,대상홀딩스,True,True,True
201,084695,대상홀딩스우,True,True,True
202,117580,대성에너지,True,True,True
203,016710,대성홀딩스,True,True,True
204,003540,대신증권,True,True,True
205,003547,대신증권2우B,True,True,True
206,003545,대신증권우,True,True,True
207,003090,대웅,True,True,True
208,069620,대웅제약,True,True,True
209,000430,대원강업,True,True,True
210,003220,대원제약,True,True,True
211,012800,대창,True,True,True
212,015230,대창단조,True,True,True
213,006650,대한유화,True,True,True
214,084010,대한제강,True,True,True
215,001790,대한제당,True,True,True
216,001795,대한제당우,True,True,True
217,001130,대한제분,True,True,True
218,003830,대한화섬,True,True,True
219,016090,대현,True,True,True
220,192080,더블유게임즈,True,True,True
221,012510,더존비즈온,True,True,True
222,004830,덕성,True,True,True
223,004835,덕성우,True,True,True
224,145720,덴티움,True,True,True
225,002150,도화엔지니어링,True,True,True
226,001230,동국제강,True,True,True
227,007590,동방아그로,True,True,True
228,005960,동부건설,True,True,True
229,005965,동부건설우,True,True,True
230,026960,동서,True,True,True
231,102260,동성케미컬,True,True,True
232,000640,동아쏘시오홀딩스,True,True,True
233,170900,동아에스티,True,True,True
234,028100,동아지질,True,True,True
235,282690,동아타이어,True,True,True
236,001520,동양,True,True,True
237,001527,동양2우B,True,True,True
238,082640,동양생명,True,True,True
239,001525,동양우,True,True,True
240,092780,동양피스톤,True,True,True
241,049770,동원F&B,True,True,True
242,006040,동원산업,True,True,True
243,014820,동원시스템즈,True,True,True
244,014825,동원시스템즈우,True,True,True
245,163560,동일고무벨트,True,True,True
246,004890,동일산업,True,True,True
247,002690,동일제강,True,True,True
248,000020,동화약품,True,True,True
249,000150,두산,True,True,True
250,000157,두산2우B,True,True,True
251,241560,두산밥캣,True,True,True
252,000155,두산우,True,True,True
253,016740,두올,True,True,True
254,192650,드림텍,True,True,True
255,024090,디씨엠,True,True,True
256,003160,디아이,True,True,True
257,377190,디앤디플랫폼리츠,True,False,False
258,013570,디와이,True,True,True
259,210540,디와이파워,True,True,True
260,089860,롯데렌탈,True,True,True
261,330590,롯데리츠,True,True,False
262,023530,롯데쇼핑,True,True,True
263,004000,롯데정밀화학,True,True,True
264,286940,롯데정보통신,True,True,True
265,280360,롯데제과,True,True,True
266,004990,롯데지주,True,True,True
267,00499K,롯데지주우,True,True,True
268,005300,롯데칠성,True,True,True
269,005305,롯데칠성우,True,True,True
270,011170,롯데케미칼,True,True,True
271,071840,롯데하이마트,True,True,True
272,204320,만도,True,True,True
273,001080,만호제강,True,True,True
274,088980,맥쿼리인프라,True,True,True
275,094800,맵스리얼티1,True,True,True
276,138040,메리츠금융지주,True,True,True
277,008560,메리츠증권,True,True,True
278,000060,메리츠화재,True,True,True
279,005360,모나미,True,True,True
280,204210,모두투어리츠,True,True,True
281,009680,모토닉,True,True,True
282,009580,무림P&P,True,True,True
