날짜,PBR
2021-04-14,0.92986524
2021-04-15,0.9229069
2021-04-16,0.9298649
2021-04-19,0.9306804
2021-04-20,0.9354639
2021-04-21,0.9549371
2021-04-22,0.9597571
2021-04-23,0.9689219
2021-04-26,0.9799237
2021-04-27,0.97979164
2021-04-28,0.9658003
2021-04-29,0.95355415
2021-04-30,0.957204
2021-05-03,1.449139
2021-05-04,1.4320651
2021-05-06,1.4263362
2021-05-07,1.4377747
2021-05-10,1.4523358
2021-05-11,1.4707125
2021-05-12,1.4645548
2021-05-13,1.461319
2021-05-14,1.48542
2021-05-17,1.5028967
2021-05-18,1.4895245
2021-05-20,1.4956441
2021-05-21,1.4950119
2021-05-24,1.4694225
2021-05-25,1.4792012
2021-05-26,1.4991887
2021-05-27,1.5110053
2021-05-28,1.5243328
2021-05-31,1.540172
2021-06-01,1.5489951
2021-06-02,1.5680175
2021-06-03,1.5919735
2021-06-04,1.6015737
2021-06-07,1.6098226
2021-06-08,1.6025305
2021-06-09,1.6124346
2021-06-10,1.6095352
2021-06-11,1.6153936
2021-06-14,1.6141856
2021-06-15,1.6192349
2021-06-16,1.6317831
2021-06-17,1.6357616
2021-06-18,1.6452098
2021-06-21,1.6418917
2021-06-22,1.6422993
2021-06-23,1.6376609
2021-06-24,1.6220766
2021-06-25,1.6246773
2021-06-28,1.633467
2021-06-29,1.6479849
2021-06-30,1.657944
2021-07-01,1.6573685
2021-07-02,1.6774573
2021-07-05,1.683132
2021-07-06,1.6939386
2021-07-07,1.6906927
2021-07-08,1.6702627
2021-07-09,1.672252
2021-07-12,1.6838299
2021-07-13,1.6902479
2021-07-14,1.6869124
2021-07-15,1.6952769
2021-07-16,1.739389
2021-07-19,1.735533
2021-07-20,1.7421829
2021-07-21,1.736522
2021-07-22,1.7401129
2021-07-23,1.7407095
2021-07-26,1.7234747
2021-07-27,1.7224845
2021-07-28,1.7216126
2021-07-29,1.7235161
2021-07-30,1.7108738
2021-08-02,1.7383332
2021-08-03,1.7275859
2021-08-04,1.7509049
2021-08-05,1.7705952
2021-08-06,1.847076
2021-08-09,1.8294038
2021-08-10,1.9412622
2021-08-11,1.9266822
2021-08-12,1.906252
2021-08-13,1.8984442
2021-08-17,1.917409
2021-08-18,1.9155293
2021-08-19,1.8977938
2021-08-20,1.8719121
2021-08-23,1.901855
2021-08-24,1.907703
2021-08-25,1.8954221
2021-08-26,1.902614
2021-08-27,1.926879
2021-08-30,1.9469378
2021-08-31,1.9610069
2021-09-01,2.1618843
2021-09-02,2.1484318
2021-09-03,2.1789405
2021-09-06,2.1622882
2021-09-07,2.1613064
2021-09-08,2.1137958
2021-09-09,2.13447
2021-09-10,2.1171322
2021-09-13,2.1081157
2021-09-14,2.1201904
2021-09-15,2.1198978
2021-09-16,2.0959983
2021-09-17,2.106628
2021-09-23,2.0890002
2021-09-24,2.1062565
2021-09-27,2.121656
2021-09-28,2.0865524
2021-09-29,2.080349
2021-09-30,2.052671
2021-10-01,2.0228276
2021-10-05,1.9295422
2021-10-06,1.8497102
2021-10-07,1.890676
2021-10-08,1.9102716
2021-10-12,1.9055747
2021-10-13,1.927642
2021-10-14,1.9656028
2021-10-15,1.9712309
2021-10-18,1.962049
2021-10-19,1.9747999
2021-10-20,1.9653565
2021-10-21,1.9459747
2021-10-22,1.9430747
2021-10-25,1.9468093
2021-10-26,1.9763159
2021-10-27,1.9660497
2021-10-28,1.9699723
2021-10-29,1.943961
2021-11-01,1.9399774
2021-11-02,1.9615017
2021-11-03,2.3940768
2021-11-04,2.335917
2021-11-05,2.325201
2021-11-08,2.2586927
2021-11-09,2.2549582
2021-11-10,2.2395463
2021-11-11,2.2262363
2021-11-12,2.2949257
2021-11-15,2.33524
2021-11-16,2.338225
2021-11-17,2.3152652
2021-11-18,2.3050547
2021-11-19,2.3124328
2021-11-22,2.2796624
2021-11-23,2.2902172
2021-11-24,2.3086023
2021-11-25,2.3864675
2021-11-26,2.409459
2021-11-29,2.4278975
2021-11-30,2.3411782
2021-12-01,2.300807
2021-12-02,2.3049016
2021-12-03,2.328628
2021-12-06,2.3137646
2021-12-07,2.298932
2021-12-08,2.3236656
2021-12-09,2.3707454
2021-12-10,2.3470902
2021-12-13,2.3152275
2021-12-14,2.2842526
2021-12-15,2.2875235
2021-12-16,2.2888598
2021-12-17,2.2649198
2021-12-20,2.2465758
2021-12-21,2.2233481
2021-12-22,2.2169738
2021-12-23,2.2279258
2021-12-24,2.2173657
2021-12-27,2.192623
2021-12-28,2.1909611
2021-12-29,2.2369418
2021-12-30,2.245369
2022-01-03,2.4028645
2022-01-04,2.3766985
2022-01-05,2.328666
2022-01-06,2.2734528
2022-01-07,2.3004694
2022-01-10,2.25733
2022-01-11,2.242999
2022-01-12,2.2740195
2022-01-13,2.243058
2022-01-14,2.2172575
2022-01-17,2.1714532
2022-01-18,2.122984
2022-01-19,2.0772896
2022-01-20,2.1184173
2022-01-21,2.1385858
2022-01-24,2.079927
2022-01-25,1.9921421
2022-01-26,1.9861144
2022-01-27,1.9603183
2022-01-28,1.9853404
2022-02-03,2.0378256
2022-02-04,2.0992146
2022-02-07,2.0939546
2022-02-08,2.1084933
2022-02-09,2.09577
2022-02-10,2.0778227
2022-02-11,2.0352492
2022-02-14,2.0130959
2022-02-15,1.9706638
2022-02-16,2.0473442
2022-02-17,2.0484173
2022-02-18,2.0816517
2022-02-21,2.0840607
2022-02-22,2.050387
2022-02-23,2.0604825
2022-02-24,1.9910475
2022-02-25,2.0582511
2022-02-28,2.0960617
2022-03-02,2.1122773
2022-03-03,2.1226063
2022-03-04,2.101428
2022-03-07,2.0555556
2022-03-08,2.0327353
2022-03-10,2.064437
2022-03-11,2.0742068
2022-03-14,2.0500636
2022-03-15,2.0494301
2022-03-16,2.0875
2022-03-17,2.1061544
2022-03-18,2.1311865
2022-03-21,2.1042273
2022-03-22,2.105245
2022-03-23,2.11551
2022-03-24,2.1175327
2022-03-25,2.1312165
2022-03-28,2.1060705
2022-03-29,2.1254156
2022-03-30,2.1623988
2022-03-31,2.1744444
2022-04-01,2.16894
2022-04-04,2.1982226
2022-04-05,2.1904001
2022-04-06,2.1557193
2022-04-07,2.1053305
2022-04-08,2.1001806
2022-04-11,2.0646665
2022-04-12,2.0624838
2022-04-13,2.0808113
2022-04-14,2.082181
2022-04-15,2.06627
2022-04-18,2.0522742
2022-04-19,2.0563564
2022-04-20,2.042467
2022-04-21,2.0264306
2022-04-22,2.0100017
2022-04-25,1.9650285
2022-04-26,1.9822841
2022-04-27,1.9613638
2022-04-28,1.9391713
2022-04-29,1.9611026
2022-05-02,1.6198817
2022-05-03,1.6203538
2022-05-04,1.6098512
2022-05-06,1.6055548
2022-05-09,1.5811449
2022-05-10,1.5590978
2022-05-11,1.5690757
2022-05-12,1.5237175
2022-05-13,1.5387387
2022-05-16,1.5519058
2022-05-17,1.5530063
2022-05-18,1.5590658
2022-05-19,1.5464123
2022-05-20,1.5538367
2022-05-23,1.5641963
2022-05-24,1.5679694
2022-05-25,1.5647181
2022-05-26,1.5674689
2022-05-27,1.5822409
2022-05-30,1.601217
2022-05-31,1.6101303
2022-06-02,1.600101
2022-06-03,1.6096401
2022-06-07,1.5908912
2022-06-08,1.5834254
2022-06-09,1.1871814
2022-06-10,1.1723015
2022-06-13,1.1133521
2022-06-14,1.0999638
2022-06-15,1.0500611
2022-06-16,1.0366933
2022-06-17,1.0396423
2022-06-20,0.9987313
2022-06-21,1.0164509
2022-06-22,0.9692052
2022-06-23,0.92272156
2022-06-24,0.9569106
2022-06-27,0.98724043
2022-06-28,0.9831766
2022-06-29,0.98088986
2022-06-30,0.9651782
