,날짜,거래량
0,2020-06-01,0.36568808957066024
1,2020-06-02,0.39548620294454767
2,2020-06-03,0.740721149607688
3,2020-06-04,0.6505333685973725
4,2020-06-05,0.4470598607070436
5,2020-06-08,0.5017191219254161
6,2020-06-09,0.4443268976461257
7,2020-06-10,0.3741514590496337
8,2020-06-11,0.5865291369126335
9,2020-06-12,0.5180287401921887
10,2020-06-15,0.5362778806312262
11,2020-06-16,0.41532222516089234
12,2020-06-17,0.4826765405977255
13,2020-06-18,0.27400158688177745
14,2020-06-19,0.3342149343207267
15,2020-06-22,0.3440007052807897
16,2020-06-23,0.39592700343824416
17,2020-06-24,0.3982191660054656
18,2020-06-25,0.32160804020100486
19,2020-06-26,0.29895089482500237
20,2020-06-29,0.27047518293220446
21,2020-06-30,0.3613682447324341
22,2020-07-01,0.2642158159217135
23,2020-07-02,0.219342325663405
24,2020-07-03,0.14766816538834474
25,2020-07-06,0.35819448117781866
26,2020-07-07,0.4571101119633253
27,2020-07-08,0.3106761879573302
28,2020-07-09,0.3335978136295514
29,2020-07-10,0.2527550030856034
30,2020-07-13,0.25372476417173534
31,2020-07-14,0.23529930353522005
32,2020-07-15,0.4512033853477919
33,2020-07-16,0.3098827470686771
34,2020-07-17,0.23362426165917294
35,2020-07-20,0.25363660407299643
36,2020-07-21,0.3991007669928586
37,2020-07-22,0.3267213259278851
38,2020-07-23,0.36198536542360943
39,2020-07-24,0.34188486291104603
40,2020-07-27,0.30582738252666863
41,2020-07-28,0.5546151811690025
42,2020-07-29,0.48602662434981975
43,2020-07-30,0.39284139998236767
44,2020-07-31,0.42845807987304957
45,2020-08-03,0.37855946398659973
46,2020-08-04,0.40421405271973887
47,2020-08-05,0.5022480825178525
48,2020-08-06,0.5057744864674245
49,2020-08-07,0.4697170060830471
50,2020-08-10,0.5846777748391077
51,2020-08-11,0.5877633782949842
52,2020-08-12,0.4923741514590496
53,2020-08-13,0.5810632107907957
54,2020-08-14,0.44388609715242916
55,2020-08-18,0.5524993387992598
56,2020-08-19,0.4055364542008284
57,2020-08-20,0.5661641541038525
58,2020-08-21,0.468041964207
59,2020-08-24,0.42819359957683184
60,2020-08-25,0.3838490699109578
61,2020-08-26,0.41655646654324296
62,2020-08-27,0.39160715860001705
63,2020-08-28,0.40527197390461067
64,2020-08-31,0.6324605483558139
65,2020-09-01,0.37917658467777504
66,2020-09-02,0.3373886978753411
67,2020-09-03,0.4609891563078549
68,2020-09-04,0.43533456757471584
69,2020-09-07,0.39248875958741103
70,2020-09-08,0.4808251785241996
71,2020-09-09,0.5017191219254161
72,2020-09-10,0.46557348144229876
73,2020-09-11,0.2933086485056857
74,2020-09-14,0.35925240236269046
75,2020-09-15,0.33659525698668796
76,2020-09-16,0.30820770519262997
77,2020-09-17,0.4419465749801644
78,2020-09-18,0.33192277175350426
79,2020-09-21,0.36427752799083085
80,2020-09-22,0.3991007669928586
81,2020-09-23,0.38138058714625755
82,2020-09-24,0.35766552058538326
83,2020-09-25,0.21422903993652478
84,2020-09-28,0.14326016045137968
85,2020-09-29,0.25531164594904354
86,2020-10-05,0.35510887772194316
87,2020-10-06,0.26280525434188506
88,2020-10-07,0.19456933791765793
89,2020-10-08,0.39698492462311596
90,2020-10-12,0.2851979194216699
91,2020-10-13,0.3201974786211755
92,2020-10-14,0.327691087014017
93,2020-10-15,0.2840518381380582
94,2020-10-16,0.2521378823944281
95,2020-10-19,0.2540774045666929
96,2020-10-20,0.38146874724499646
97,2020-10-21,0.25707484792382956
98,2020-10-22,0.26007229128096615
99,2020-10-23,0.23335978136295524
100,2020-10-26,0.37988186546768926
101,2020-10-27,0.4172617473331572
102,2020-10-28,0.24411531340915113
103,2020-10-29,0.3612800846336942
104,2020-10-30,0.4173499074318961
105,2020-11-02,0.27232654500573034
106,2020-11-03,0.2396191483734462
107,2020-11-04,0.3844661906021331
108,2020-11-05,0.3486731905139734
109,2020-11-06,0.28396367803931927
110,2020-11-09,0.2825531164594899
111,2020-11-10,0.43145552323018616
112,2020-11-11,0.4926386317552673
113,2020-11-12,0.40721149607687546
114,2020-11-13,0.460900996209116
115,2020-11-16,0.5449175703076784
116,2020-11-17,0.4837344617825973
117,2020-11-18,0.36057480384378
118,2020-11-19,0.27902671250991784
119,2020-11-20,0.22401481089658776
120,2020-11-23,0.41814334832055017
121,2020-11-24,0.4549061094948428
122,2020-11-25,0.6035440359693204
123,2020-11-26,0.3433835845896144
124,2020-11-27,0.2510799612095563
125,2020-11-30,0.6371330335889976
126,2020-12-01,0.3955743630432866
127,2020-12-02,0.4656616415410387
128,2020-12-03,0.46063651591289734
129,2020-12-04,0.5667812747950278
130,2020-12-07,0.5030415234065065
131,2020-12-08,0.4850568632636868
132,2020-12-09,0.41743806753063595
133,2020-12-10,0.6211760557171826
134,2020-12-11,0.37882394428281746
135,2020-12-14,0.38578859208322264
136,2020-12-15,0.4403596932028562
137,2020-12-16,0.28167151547209685
138,2020-12-17,0.3820858679361718
139,2020-12-18,0.30450498104557816
140,2020-12-21,0.350789032883717
141,2020-12-22,0.3201974786211755
142,2020-12-23,0.6662258661729699
143,2020-12-24,0.5271092303623385
144,2020-12-28,0.6992859032002116
145,2020-12-29,0.5486202944547303
146,2020-12-30,0.4442387375473858
147,2021-01-04,0.6359869523053868
148,2021-01-05,0.6067177995239358
149,2021-01-06,0.7154192012695054
150,2021-01-07,0.6756589967380762
151,2021-01-08,0.9140439037291728
152,2021-01-11,1.0
153,2021-01-12,0.7632019747862117
154,2021-01-13,0.6719562725910254
