,날짜,거래량,exchange
0,2020-06-01,0.36568808957066024,0.43733333333333346
1,2020-06-02,0.39548620294454767,0.4536666666666668
2,2020-06-03,0.740721149607688,0.45983333333333354
3,2020-06-04,0.6505333685973725,0.4718333333333332
4,2020-06-05,0.4470598607070436,0.47099999999999986
5,2020-06-08,0.5017191219254161,0.47816666666666685
6,2020-06-09,0.4443268976461257,0.4929999999999999
7,2020-06-10,0.3741514590496337,0.5038333333333332
8,2020-06-11,0.5865291369126335,0.5093333333333332
9,2020-06-12,0.5180287401921887,0.512
10,2020-06-15,0.5362778806312262,0.4890000000000001
11,2020-06-16,0.41532222516089234,0.4820000000000001
12,2020-06-17,0.4826765405977255,0.4890000000000001
13,2020-06-18,0.27400158688177745,0.47583333333333333
14,2020-06-19,0.3342149343207267,0.4783333333333334
15,2020-06-22,0.3440007052807897,0.48
16,2020-06-23,0.39592700343824416,0.47799999999999987
17,2020-06-24,0.3982191660054656,0.48316666666666686
18,2020-06-25,0.32160804020100486,0.49516666666666653
19,2020-06-26,0.29895089482500237,0.4913333333333333
20,2020-06-29,0.27047518293220446,0.5023333333333335
21,2020-06-30,0.3613682447324341,0.49883333333333324
22,2020-07-01,0.2642158159217135,0.5025
23,2020-07-02,0.219342325663405,0.4973333333333335
24,2020-07-03,0.14766816538834474,0.4983333333333333
25,2020-07-06,0.35819448117781866,0.4993333333333332
26,2020-07-07,0.4571101119633253,0.5053333333333334
27,2020-07-08,0.3106761879573302,0.5118333333333331
28,2020-07-09,0.3335978136295514,0.5070000000000001
29,2020-07-10,0.2527550030856034,0.5091666666666667
30,2020-07-13,0.25372476417173534,0.4959999999999999
31,2020-07-14,0.23529930353522005,0.49950000000000006
32,2020-07-15,0.4512033853477919,0.4893333333333332
33,2020-07-16,0.3098827470686771,0.49883333333333324
34,2020-07-17,0.23362426165917294,0.49316666666666686
35,2020-07-20,0.25363660407299643,0.49049999999999994
36,2020-07-21,0.3991007669928586,0.49383333333333324
37,2020-07-22,0.3267213259278851,0.5031666666666668
38,2020-07-23,0.36198536542360943,0.5105
39,2020-07-24,0.34188486291104603,0.5025
40,2020-07-27,0.30582738252666863,0.49783333333333346
41,2020-07-28,0.5546151811690025,0.5056666666666668
42,2020-07-29,0.48602662434981975,0.5081666666666669
43,2020-07-30,0.39284139998236767,0.508
44,2020-07-31,0.42845807987304957,0.5143333333333332
45,2020-08-03,0.37855946398659973,0.5181666666666669
46,2020-08-04,0.40421405271973887,0.5105
47,2020-08-05,0.5022480825178525,0.5108333333333333
48,2020-08-06,0.5057744864674245,0.5161666666666667
49,2020-08-07,0.4697170060830471,0.5261666666666667
50,2020-08-10,0.5846777748391077,0.5234999999999999
51,2020-08-11,0.5877633782949842,0.5221666666666667
52,2020-08-12,0.4923741514590496,0.5251666666666666
53,2020-08-13,0.5810632107907957,0.5233333333333333
54,2020-08-14,0.44388609715242916,0.5273333333333334
55,2020-08-18,0.5524993387992598,0.5236666666666667
56,2020-08-19,0.4055364542008284,0.5248333333333335
57,2020-08-20,0.5661641541038525,0.5295000000000001
58,2020-08-21,0.468041964207,0.5228333333333335
59,2020-08-24,0.42819359957683184,0.5245000000000001
60,2020-08-25,0.3838490699109578,0.5166666666666666
61,2020-08-26,0.41655646654324296,0.5228333333333335
62,2020-08-27,0.39160715860001705,0.5216666666666667
63,2020-08-28,0.40527197390461067,0.5238333333333333
64,2020-08-31,0.6324605483558139,0.5248333333333335
65,2020-09-01,0.37917658467777504,0.5278333333333334
66,2020-09-02,0.3373886978753411,0.5256666666666668
67,2020-09-03,0.4609891563078549,0.5229999999999999
68,2020-09-04,0.43533456757471584,0.5208333333333333
69,2020-09-07,0.39248875958741103,0.5163333333333333
70,2020-09-08,0.4808251785241996,0.5213333333333332
71,2020-09-09,0.5017191219254161,0.5201666666666664
72,2020-09-10,0.46557348144229876,0.5173333333333334
73,2020-09-11,0.2933086485056857,0.5245000000000001
74,2020-09-14,0.35925240236269046,0.5195000000000001
75,2020-09-15,0.33659525698668796,0.5263333333333333
76,2020-09-16,0.30820770519262997,0.5325
77,2020-09-17,0.4419465749801644,0.5370000000000001
78,2020-09-18,0.33192277175350426,0.5409999999999999
79,2020-09-21,0.36427752799083085,0.5606666666666669
80,2020-09-22,0.3991007669928586,0.5656666666666668
81,2020-09-23,0.38138058714625755,0.5601666666666665
82,2020-09-24,0.35766552058538326,0.5593333333333332
83,2020-09-25,0.21422903993652478,0.5495000000000001
84,2020-09-28,0.14326016045137968,0.5491666666666667
85,2020-09-29,0.25531164594904354,0.5441666666666667
86,2020-10-05,0.35510887772194316,0.5508333333333333
87,2020-10-06,0.26280525434188506,0.5609999999999998
88,2020-10-07,0.19456933791765793,0.5666666666666667
89,2020-10-08,0.39698492462311596,0.5625
90,2020-10-12,0.2851979194216699,0.573
91,2020-10-13,0.3201974786211755,0.5861666666666667
92,2020-10-14,0.327691087014017,0.5841666666666667
93,2020-10-15,0.2840518381380582,0.5904999999999999
94,2020-10-16,0.2521378823944281,0.5923333333333335
95,2020-10-19,0.2540774045666929,0.5906666666666669
96,2020-10-20,0.38146874724499646,0.5963333333333333
97,2020-10-21,0.25707484792382956,0.6004999999999999
98,2020-10-22,0.26007229128096615,0.6104999999999999
99,2020-10-23,0.23335978136295524,0.6098333333333334
100,2020-10-26,0.37988186546768926,0.6090000000000002
101,2020-10-27,0.4172617473331572,0.6181666666666668
102,2020-10-28,0.24411531340915113,0.6206666666666668
103,2020-10-29,0.3612800846336942,0.6178333333333335
104,2020-10-30,0.4173499074318961,0.6109999999999998
