날짜,댓글,조회수,좋아요,싫어요
2022-06-24 19:41,흥보가 입만 닫으면,283,4,0
2020-11-27 13:35,망설이면 품절,351,2,4
2021-12-02 10:25,왜 이리 오르냐 뭔데 ,608,0,0
2022-06-21 10:31,호가창은 올라야 맞는데   ,203,2,0
2021-09-30 11:32,OOO들  오를라니깐  쳐빼는거봐라,128,0,0
2021-09-09 10:49,공시 확인하세요  ,283,0,0
2020-06-04 15:36, 월초에 화장품 관련주 사놓으면,417,2,0
2022-07-04 10:56,나도 한 번 불러보자,117,5,1
2020-07-09 13:26,개 잡주네,143,1,0
2022-04-28 10:44,와   퍼가 오르네 ,161,1,0
2020-11-27 11:13,그이상하네,200,2,0
2021-07-05 10:41,처음주식시작을 아모레로했었는데,292,1,1
2021-09-08 22:04,너는도대체먼데,264,3,0
2022-04-20 15:25,몇개월을 힘들게하더니만  ,351,0,0
2020-07-01 10:09,  만원대 물린 분들도 계시나요 ,349,1,1
2020-09-03 15:43,우와    원 올랐다,288,3,0
2022-04-28 10:09,쫄보에 현실 입니다  ,118,0,0
2021-07-01 14:27,뭔일 있나요  ,242,2,1
2021-08-18 23:56,내일 무조건 장대불기둥 ,232,2,2
2022-03-18 16:50,F F는 어제 오늘 올랐는데,214,2,2
2022-03-15 21:20,향후시나리오 재미삼아,329,2,7
2021-09-28 13:57,거래량터 네,129,1,1
2020-10-30 14:54,마지막 개미 털기가,310,2,5
2020-12-05 14:50,다음주   만 볼듯 중국 주가 한한령해제   ,938,20,5
2020-10-09 08:58,일간투데이 진핑이  사실이냐  방한,560,1,3
2020-09-10 15:42,내일은 거래량실린 장대음봉,393,4,0
2022-01-08 18:39,주주가 되었네요 ,640,13,4
2020-08-23 23:38,급 안티 천국이네,184,0,2
2021-12-16 13:10,오늘 내일 개 박살 나야 하는 이유,323,2,1
2021-05-23 15:20,중국반응 대체로 차분한거보니 okay싸인,401,6,0
2021-10-07 09:53,      흐메 풀싸롱 가는 날이다      ,281,1,0
2020-08-07 09:41,  만,240,0,0
2022-06-21 14:11,상한가에 매도걸어둬,167,1,1
2022-03-24 19:13,와 OOO       내가 미쳤지,267,2,0
2021-09-04 16:40,비싸다 너무 비싸다,252,2,1
2022-04-06 13:21,     매장들개판,327,2,0
2020-07-28 01:21,지난 어느날   ,193,1,0
2020-10-20 16:49,국민이 그지니,219,1,1
2020-11-10 15:39,내일은 단기 초급등에 따른 조정 예상,538,3,3
2021-09-14 14:25,지금 발바닥저점인가요  신규입주 괜찮나요   ,275,2,0
2022-06-22 15:49,이정도면,130,2,0
2020-06-23 10:14,살다살다 이런 개잡주는 처음이네,199,4,0
2022-07-04 09:54,중국이 한마디 하면 폭포수 나온다,148,5,3
2020-10-29 06:43,아퍼 주주제위께   ,247,2,5
2022-07-04 11:56,회장과 사장 이사들까지 전부다 사퇴 해라,83,0,0
2020-06-27 06:20,주식 수익에 대해,686,1,0
2022-05-17 21:04,당분간 사기고발   당에 시끄럽겠당,121,0,0
2021-11-25 11:26, 종목선택시 난 이것보고  오호   안돼   ,136,0,0
2022-01-31 23:17,중국관련주 급락주의   윤   사드추가배   ,273,9,5
2020-06-11 08:27,  보는 날이네,168,4,0
2021-07-07 13:04,처 물렸네,236,3,0
2022-05-23 08:57,중국화났다,403,7,7
2021-10-14 22:27,와 이거   년 월에   이였네  ,302,4,1
2022-01-05 11:04,바닥인데 막던지네,535,1,4
2022-07-01 10:32,윤석열을 몰아내고 조국장관을 대통령으로    ,139,23,4
2021-10-06 16:13,차트쟁이가 한말씀 올린다,257,3,3
2022-03-04 09:06,오늘도 바코드찍나요 ,354,1,0
2020-11-13 18:18,월요일 상이네     희망퇴직 뉴스   ,1001,8,5
2022-04-05 13:13,  층,624,5,2
2022-04-07 14:37,엘지생건 보고,586,0,1
2021-09-24 14:21,줍줍   ,130,1,1
2021-10-14 14:16,궁예사진의 유래,339,6,1
2021-07-07 15:37,공매도가 장난치기 가장좋은종목,266,5,0
2020-10-28 20:04,사전정보빠른 기관 외인들 투매는 없었다,257,6,1
2020-06-05 08:23,오늘 종가,534,5,2
2022-02-10 09:57,생건 주주입니다,143,0,0
2022-06-21 07:32,  퍼 가즈아 ,193,2,1
2022-02-15 10:16,반년만에 찐반등 오나,212,0,0
2021-02-18 13:46,이건 이제 가진자의 영역이라서    건들   ,626,5,1
2020-12-09 18:05,시간외 상,1632,3,0
2020-11-10 11:18,수익인분들은 오늘 익절   ,572,2,0
2022-05-11 15:02,내일 옵션 만기일인데,382,2,0
2022-02-11 10:04,주식의 신,344,0,1
2021-09-07 08:15,이번에 시진핑이    퍼 오는이유,475,4,3
2021-11-01 14:05,답글 모간형도 못뚫는 악성매물,430,2,1
2020-10-23 09:06, 正들의 다급하고도 절박한표현의외침들을 ,212,0,0
2021-08-19 12:19,      칙칙 폭폭 시작도 안했다,179,1,1
2021-12-03 13:04,우리의 모간형,225,4,1
2020-12-09 09:56,울 조카두 이리로    ,189,0,0
2021-04-03 20:05,시진핑,217,1,1
2022-06-07 09:26, 년만에 돌아온 단체관광,367,2,1
2022-05-18 01:08,화장품 회장하고 중국 마피아한테 협박받고   ,151,1,0
2021-02-03 11:12,장투  ,130,0,0
2022-05-16 12:30,개돼지년들땜에 힘들죠 ,144,0,0
2020-06-24 13:39,유통업계  자외선 차단 공식 ABC에 주   ,171,0,0
2022-04-19 18:17,공매도 완승 ,253,1,0
2022-02-23 09:54,  만 중반까진 열림,615,3,2
2022-03-17 20:38,삼성도 사옥까지 팔아서    조를 대기중   ,169,0,4
2021-01-10 14:05, 월 공매도 폐지 청원입니다,269,2,0
2020-10-28 19:25,어닝 서프라이즈인데,399,2,2
2022-04-07 17:27,정규장 존나 빼고,445,4,1
2021-09-09 09:30,증권사 주식중계꾼들 벌레처럼 기어나오네    ,110,1,0
2021-03-04 14:24,오늘 존버한 종목이 모두 수익이군요,323,1,1
2020-07-09 12:13,  다들   고난의 행군중이군 ,375,1,4
2021-08-24 13:47,  개중   종목 손실인 제가 여기들어왔   ,661,3,1
2022-06-16 11:13,개미들이   가면 날라간다고해서,182,0,1
2022-03-22 11:52,서서이 상승세 타고 있네요    ,169,1,0
2020-09-18 10:52,오늘만큼은 하한가 갑니다,279,4,0
2022-05-19 00:34,기회다 ,254,1,0
2020-06-30 17:37,개미들아   다른 화장품 주는 작전쳐서    ,441,6,0
2022-05-17 22:56,오늘 개투   만매수 외인  만 매도     ,121,3,0
2021-10-01 19:07,좋은 뉴스가 나올때는 팔고   ,318,3,4
2022-05-17 20:48,   억도 아니고   억 횡령,232,2,2
2021-09-09 13:06,아무리 그래도 코로나 폭락때 수준까지,116,1,1
2020-07-11 07:52,  년 박스피 맛을 볼 차례다,354,1,2
2022-06-30 15:43,한강물시원해,104,21,0
2021-09-28 13:49,개관이 더,146,3,0
2020-08-22 16:34,결국 코로나 끝나야 시진핑 온다네요,204,1,1
2021-06-02 13:11,  마넌이 고점이엿네요  ,523,2,1
2022-06-30 06:02,데헷 데헷    룰루랄라 호잇 호잇,174,1,1
2022-05-17 11:37,상폐 가자,130,4,0
2022-05-18 11:07,중국악재 그리고 횡령,330,3,1
2021-09-27 10:28,아모레 대한민국 등   ,130,1,0
2022-06-18 17:14,마스크 벗었다,233,4,1
2021-07-23 11:30,기다,132,0,2
2020-06-15 16:09,답글 내일 더떨어질까요  ,270,4,3
2021-06-07 17:40,   오늘부터 K 뷰티 박람회,430,0,0
2020-07-31 14:44,   필독  금일 시외 하한가  주초     ,330,5,4
2020-06-11 12:13,지는해,124,0,2
2021-09-28 15:11,이헌상,269,3,0
2022-05-19 21:24,바이든오면,187,0,2
2021-09-06 17:08,내일 무조건 장대음봉 ,223,1,4
2020-06-11 08:21,아가씨도 안쓴다,215,1,1
2021-09-02 15:52,공매 맛집입니까 ,348,2,2
2020-08-14 09:15,잇츠한불 초급등 ,231,0,0
2021-09-23 11:37,저점 반등에 시드 불리기면 모를까,133,0,1
2021-11-29 10:39,이론   개잡주   또 빠지네 ,157,1,0
2022-04-09 12:04,Savour Korea  Invigora   ,191,0,0
2020-06-17 23:08,한달안에   만간다,597,3,11
2022-04-28 09:57,외국인이 매수하네요,358,4,0
2022-03-20 19:31,갑자기 중국향 화장품 판매 부진이라고,350,1,1
2021-10-07 19:06,흥보네 가족끄,188,1,0
2020-10-06 12:23, 인문학과장법이 과학을 뒤덮다 ,197,0,0
2021-02-03 17:13,오프라인 매장철수와 명퇴   ,197,0,0
2022-06-22 16:57,모하는회사냐 ,136,0,0
2022-04-19 14:27,장막판에 크게 빠질 듯  ,443,4,3
2022-05-24 12:47,공매놈들아 안떨어진다  ,232,1,2
2022-02-18 10:57,목표가 얼마잡아야 합니까 ,1082,1,0
2021-09-10 13:19,햇지 펀드 날립,102,0,0
2021-07-30 10:32,좀만더   좀만  ,119,0,0
2020-08-11 13:16,추매하고싶은데,249,1,2
2021-12-29 10:46,배당얼마주나요  냉무 ,664,0,0
2020-08-25 10:20,여기 왜 투자하냐 ,227,5,3
2021-02-07 10:00,  만원 왔을때 매도 못해서  ,1144,6,1
2020-08-20 10:23,실적 안돼 짱개 뉴스로 떳으면,173,1,0
2021-09-04 18:29,롱텀 디플레이션전쟁 곧 터진다,250,0,1
2021-03-08 21:15,미일보다 한중이 빨리성사되길,343,3,3
2020-11-19 11:02,  시진핑 한국 왔다 코로나 걸려서 죽어   ,330,1,2
2022-06-08 19:35,   ,247,5,3
2020-08-18 14:39,코로나 시대에,144,2,0
2021-10-08 11:29,진입해도되냐 이거 ,420,2,1
2022-07-08 10:15,실외마스크 의무화,252,2,2
2021-07-26 14:27,이젠 사도 될것 같은데   ,668,1,2
2021-07-01 20:58,내일 기회 준다,503,0,2
2022-03-10 07:40,답글 중국 한한령  년만에 풀리나   한국 게   ,166,1,2
