날짜,댓글,조회수,좋아요,싫어요
2022-05-02 16:45,단일가 하락중,410,2,5
2020-10-25 22:02,이건희 회장님 편히 가시고 하늘나라에서도   ,211,1,2
2021-08-20 09:24,시총 순위   ,233,5,0
2020-12-29 23:55,박근혜 관련 정부 공식 입장,518,12,6
2021-09-25 19:31,윤슥려리는 배신자 새끼다     한번 배   ,518,10,19
2020-06-16 14:41,주도주로 등극하는거니 ,506,1,1
2020-06-29 10:33,기관팔고  프르그램판다,484,4,5
2021-05-13 02:10,이재용 부회장,495,7,14
2021-12-03 14:38,답글     삼성물산  일단 절반 매도,234,3,4
2021-12-27 15:17,배당 받으러 왔다 코피 터지는 아녀 ,442,2,1
2021-08-09 11:57,이재용 석방될거다,264,3,3
2020-10-25 12:51,실질적인 지배그룹 수혜주 분석,446,1,1
2021-05-13 11:03,이건 정말,164,3,0
2022-07-06 15:45,답글  삭제된 게시물의 답글 허름선생의 명언,50,0,0
2021-01-30 21:46,삼성생명   주 사기 국민운동을 전개중입   ,313,1,5
2021-05-23 00:13,사실상  삼바우선주는 삼물우 하나인데,391,0,1
2020-08-14 13:15,실업률 최고   여의도 증권가는 파티중,245,1,2
2021-09-13 11:06,에라이   물아  ,208,2,1
2020-10-12 15:55,답글  삭제된 게시물의 답글 금일도    원띄   ,282,2,0
2020-06-16 21:49,미국선물폭등 ,374,4,1
2022-04-14 15:23,헐 동시호가,305,5,3
2021-01-18 18:21,삼성물산 영상떳네요 ,637,0,5
2020-07-26 14:54,이재용이를 보내야 삼물이가 살죠 ,462,15,9
2022-07-06 10:49,좋은 약은 입에 쓰다,360,0,8
2020-12-02 12:39,드디어,212,0,2
2020-06-23 17:18,아랫꼬리도 길고 시간외도 오르고   ,510,4,8
2021-07-08 12:53,합병 시너지,264,9,2
2020-11-17 07:08,한꺼번에 왕창 오르는것도,233,0,0
2021-06-28 14:37,내가 이거  월 일부터,308,1,1
2020-06-24 11:39,물떠놓고 기도하고 저주하고 있습니다,153,2,1
2022-01-12 13:07,현산개 와르르  ,329,0,2
2020-07-03 13:11,인간적으로,188,3,0
2021-01-06 16:49,오백물산이 달라졌네,415,11,0
2020-07-15 14:05,   만원에 산 엔씨 주식이   만원     ,281,3,0
2020-09-29 15:04,오늘은 막판에 확   말아 올릴 듯  ,210,0,3
2022-04-27 11:20,가석방 이랑 사면이랑 다르다니까,169,0,2
2021-09-09 13:33,안팔고 안사면 된다 그냥 가마니 잇어라    ,199,0,0
2021-01-05 17:48,  만 물산,453,3,1
2020-06-18 14:40,다들   일 슈팅 기다리는거죠 ,665,1,1
2021-04-28 11:43,배당 얼마줄건가 ,295,4,0
2022-04-11 14:45,올릴수도 있는데,284,0,0
2021-03-29 10:20,찐짜,155,2,0
2021-04-30 16:11, 남매 각    만주씩 상속,369,1,0
2022-01-28 09:48,오늘도 역시 신한,229,1,0
