날짜,댓글,조회수,좋아요,싫어요
2021-04-14 10:32,사전예약코드 넷마블 주주라면 사전예약 해   ,158,1,0
2020-09-03 13:29,이민아 분노의 레포트 작성,162,0,0
2020-07-14 11:42,넷마블,143,0,0
2021-09-15 13:35,애들아   ,322,5,0
2020-07-08 09:08,엎드려    진격하라   김상사으악으악,138,1,0
2021-06-23 10:26,고민하지마,127,2,0
2021-07-19 18:49,장이 안좋을때 같이 조정받는거 나쁘지 않   ,313,0,3
2021-06-10 00:49,넷마블에서 신의탑으로 세나하나 만들자,235,2,1
2020-07-14 10:41,     노답주식이네     ,218,2,1
2020-06-02 14:03,답글 이민아 넷마블 목표주가      원,161,0,0
2020-10-15 09:06,    그리 말해줘도,155,0,1
2021-04-19 10:05,전형적인 거시기중,148,4,0
2021-11-10 09:29,솔직히 게임망했자나    ,146,0,0
2020-11-23 13:40,세나   구글 위 애플  위,232,3,0
2022-05-04 12:03,실적발표 그냥해버려라 ,120,0,0
2021-11-25 10:03,좀만 기달려라,201,1,1
2021-01-11 13:16,넷마블 주가가 중력을 느끼네요,137,1,0
2020-07-28 09:33,이 분위기 타고   만까지 올라갔음 좋겠   ,225,1,1
2021-06-10 09:59,한국 앱스토어 매출 위 몇시간 만에 갈까   ,534,2,2
2020-09-25 15:05,같은 빅씨인데,187,2,0
2022-04-20 10:29, 이위즈덤보구 손실자는돈잠시맡겨놨다여기라   ,140,1,0
2020-10-05 20:41,써글 넘들,302,7,4
2021-12-17 15:09,잡지마 ,152,0,0
2020-08-09 23:11,  개잡주전문가입니다   아마도 오늘부터   ,262,3,1
2021-06-12 15:57,제 의나라 아직 출발도 안했습니다 ,432,10,0
2020-12-22 16:10,추매했는데,126,0,2
2020-08-07 09:35,  층오면 매도하려고 했는데 더 갖고 가   ,329,2,0
2021-06-16 07:31,패대기,120,1,0
2020-10-16 11:31,손절해야되나,101,1,0
2021-11-17 19:24,게임주 다가는데 넷마블만 못가는 이유가    ,894,12,1
2021-05-25 12:02,아직 감이 안오냐 지브리로 게임을 만든다   ,176,5,1
2021-09-30 09:12,지금이냐 ,182,1,2
2021-01-14 11:57, 분기 매출 나왔나요 ,376,0,0
2021-07-23 09:21,넷마블이,84,0,0
2021-06-14 08:47,평단 왔당,116,1,0
2022-06-08 12:30,꼬마인형,169,1,0
