날짜,댓글,조회수,좋아요,싫어요
2021-01-18 13:33,  만원 입벌리고 있다 쫘악   ,154,3,0
2022-04-21 20:37,     새끼들은 주식하지마라,227,21,4
2020-06-11 11:44,기관은   ,158,0,4
2021-12-03 14:51,넷플릭스에 납품하는 애들이 대단한거지,252,1,0
2020-06-15 15:47,      원 종가에 입성,418,1,2
2021-12-02 10:04,내가 보유한 회사 오너 구속되길,124,4,0
2020-07-08 09:33,갭메우러 내려갈듯,147,3,5
2022-05-12 15:14,  주 입성,345,0,0
2021-02-05 09:29,이런 대도 공매도 대충 허용  개가 웃는   ,162,0,1
2021-06-14 09:34,대선주아닌가,393,0,5
2020-06-18 14:34,현대  엘리베이트   지사주 매수후 소각   ,231,1,0
2021-04-19 13:00,답글 배당 아직 안들어왔죠  ,314,0,2
2021-02-24 13:03,구조대올때 싸게싸게 탈출하셈,167,0,0
2021-12-06 09:06,날아올라,279,0,0
2021-08-31 15:22,예상가봐라 단타  로들  ,356,0,0
2022-06-10 11:17,대형주에 단타치러들어온 호구 없제 ,213,1,1
2021-04-27 01:20,오쇼핑으로 번돈,190,0,1
2021-03-10 12:05,어쩜 이리 상호구 종목이 다 있는가   ,120,1,0
2022-01-08 08:10,극렬안티들 버글버글  ,358,2,7
2022-02-11 13:04,더 쳐내려라,138,1,0
2021-06-16 15:45,사도 모간 자까튼 년들이 사서 불안하네,331,0,1
2022-04-13 15:53,오늘같은 무지성 폭등장에도,260,1,0
2022-02-10 15:03,아이고,102,0,1
2022-01-14 18:11,이헌상 특기,441,10,1
2021-03-07 19:46,v dium   메타버스 시작이냐 ,602,4,2
2021-11-22 09:44,답글  삭제된 게시물의 답글 뒷장에 다들 죽여   ,98,1,0
2021-04-19 09:28,엉금엉금 기어서 가자,325,2,1
2021-03-18 09:10, 천원 뚫겟다,87,0,1
2021-02-09 15:23,회사망함 ,164,1,0
2020-12-18 16:52,프로그램 으로 토했네,288,2,0
2022-03-12 10:13,티빙 물적분할 반대,257,5,0
2020-12-23 11:09,내가 삼성카드이후로,160,1,0
2020-09-25 10:36,넷마블,144,0,0
2022-01-27 09:27,이게 물적분할 탓은  아님,196,0,6
2022-02-10 13:06,자기회사 자기가 분할한다는데 도대체 뭐가   ,110,0,4
2020-07-14 11:11,블랙아웃은 없이 결국 협상  ,392,4,1
2021-04-09 23:07, 분기 실적 호조 예상,640,3,2
2021-08-30 18:22,한국도 일본처럼 투자할 곳이 완전히 없어   ,279,0,1
2020-07-07 13:54,답답 시럽다  ,380,3,0
2021-04-06 06:19,나스닥 폭락이후 다시 신고가 향해 달리는   ,124,1,0
2021-10-07 11:39,   뚤리면,269,1,0
2020-08-18 09:52,주식한지  년됐는데,232,0,0
2020-08-07 09:02,내려간다,308,0,3
2021-11-25 13:12,카카오마냥 껍데기만 남는회사,152,3,0
2021-11-23 09:16,이주식 안되거꾸먼,228,1,0
2022-02-10 16:14,성과금때문에 영익 줄었네,177,2,0
2022-05-12 10:28,개폭락장 왔다,112,0,0
2021-07-09 12:28,기생충 몰빵 좀비였다가 물타기 해서 수익   ,322,2,2
2021-02-05 11:52,저가 매수기회줄때 담가둬라  ,168,1,1
2020-09-03 12:59,오늘입니까형님,168,0,0
2021-01-28 17:58,배당금은 이미나옴 그만 징징대요  ,299,1,1
2020-09-16 22:19,내일도   ,245,0,2
2021-02-18 09:51,지금 사야 할때다,154,1,1
2021-12-02 11:52,이번주 내로   자 봅니다 ,128,0,0
2021-01-25 10:49,오늘 더이상 오르기 안됨,249,1,0
2020-10-26 11:02,얼탱이가 없구만 손절 하고 떠난다,187,2,0
2021-11-17 15:04,내가,223,0,1
2020-09-14 09:37,banj형 가끔은 도배도 쉬고 그래,147,1,0
2021-02-15 15:09,회사가 주가부양할 의지가,218,0,2
2020-08-04 17:08,코스닥 동전주 보다 못한 개잡주다,277,2,2
2020-08-01 10:11,다만 악에서 구하소서,765,5,2
2022-05-29 10:19,상받앗으면 끝난건데,186,0,1
2021-02-04 14:29,지금 매도세력 엄청 급하다,123,0,0
2021-10-25 12:12,머야 끝난거야 ,105,0,0
2020-08-19 09:02,쩝 결국 기회를 안주나,145,0,0
2020-11-13 15:28,잡주에 혼나고 있다,230,0,0
2020-09-16 11:52,주주님들,203,8,0
2021-11-22 10:37,와 이렇게 떨어뜨리냐,159,1,0
2020-11-10 08:56,미국 엔터주,138,0,0
2020-09-23 15:56,방탄,318,1,0
2021-10-24 22:02,지리산   ,619,6,4
2021-03-24 21:43,Cj enm 채널이 예능 드라마 등 더    ,142,1,2
2021-11-25 13:06,개잡주아 손실보고 매도,138,1,0
2021-03-31 10:31,기관 또 들어오다 나가듯지 단타 멸치랑,96,1,0
2021-12-02 10:38,감옥에 가야지,270,9,1
2020-08-21 04:44,답글  삭제된 게시물의 답글 평단   만 후반   ,131,0,0
2021-07-07 17:22,참 재밌다 그죠 ,436,2,1
2020-12-16 13:06,아깝네요  ,398,0,1
2021-11-24 12:42,물적분할도 문제지만,214,2,0
2020-08-24 13:08,이제 관심  조차도 안주네    ,158,2,0
2020-07-08 10:26,겨우 탈출 감사 다시는 쳐다도 안봐야지,280,5,3
2022-04-12 11:42,물적분할한 스튜디오드래곤이랑 시총이 같다   ,283,5,0
2021-03-25 09:52, ,89,0,1
2021-10-08 11:47,튀라 계속올랐다 떨굴때 다,216,0,0
2021-09-16 09:07,     HIS,465,0,0
2021-08-03 10:27,CJ ENM  디지털 시프트  순항 유튜   ,172,0,1
2020-12-14 12:17,어이구 빨간불     프로 상승,125,0,0
2021-07-17 16:00,넷플릭스  티빙 웨이비  엇갈린 희비,730,4,1
2020-09-21 12:08,답글  삭제된 게시물의 답글 banj        ,111,0,0
2021-03-27 23:33,주식에     묻었네,270,0,0
2020-11-11 10:51,어제 누른거 올라간다,102,0,0
2020-08-28 10:05,   어줍잖긴  ,205,0,0
2020-09-03 18:03,  세기는 문화 컨텐츠 전쟁이다,334,3,1
2021-01-04 13:42,너무 오르지 말고 좀만 기둘려줘    ,230,0,0
2020-07-27 11:18,종목중에서 완전히 맛이 간 쓰레기,107,0,0
2022-02-11 11:00,      ,96,0,0
2021-10-05 17:49,단타꾼들 조대이에 개거품흘린다,220,1,1
2022-03-01 09:04,Cj enm 주가가 더 빨리오를까,455,2,0
2022-01-11 16:09,홈쇼핑 주식입니다 ,289,3,6
2020-09-22 02:07,banj     요놈의 기생충 좀비 소원   ,190,0,1
2022-02-11 10:40,재현이 뒈졌다고 부고뜨는날   ,129,2,0
2021-07-30 07:45,오늘이다,362,0,3
2021-06-02 13:51,  만 금방가겠다,204,1,0
2021-03-10 22:24,Cj 엔터 너 얼마나 잘되나 보자,147,5,0
2020-09-09 14:06,진짜 말도안되고 해도해도 너무한다,209,2,0
2021-01-14 15:02,현대차 sk이노보며,232,0,0
2020-07-01 22:51,   백만주 다 사면 내맘대로 주가 움직   ,256,1,0
2021-02-15 10:28,매도하는 사람이 없네요  ,167,0,0
2021-06-23 12:17,  만에사서   만에 다팔았는데  ,648,2,2
2021-10-07 15:17,막판에 겁나게 던지네,328,2,1
2021-12-16 00:35,C시끼들,422,6,0
2021-06-03 12:00,  매 수 신 호 발 생      ,154,1,0
2022-05-12 13:35,더 무서운건   ,179,2,0
2022-05-26 12:25,근데 궁금한점  ,292,0,3
2021-09-27 20:04,아무리 생각을 해봐도,931,3,2
2021-02-26 11:55,주린이들,118,2,0
2020-06-24 13:17,내년  분비 좀 좋아질려나,152,0,0
2021-02-05 10:51,이번년도 새로 오신 찬티분들,162,0,0
2022-02-09 10:15,지지 지지직 ,113,3,0
2021-08-06 17:16,배구나 보자  ,384,3,0
2020-06-29 11:59,답글  삭제된 게시물의 답글 banj        ,240,2,0
2021-02-05 17:01,그냥조땔준비혀   ,310,4,2
2021-10-27 09:16,우리가 모르는 악재있냐,182,0,0
2021-06-26 07:01,답글 이제겨우본전  ,161,0,1
2020-06-12 11:21,아침에 jyp 살까 이넘 살까 고민하다가   ,180,0,0
2021-02-24 08:51,속지마라    못감,152,0,1
2020-07-01 12:27,어휴,250,3,2
2022-06-02 15:48,카겜 넷게임즈 돈 벌어서 여기 물타야겠네,143,0,0
2020-08-21 09:50,아침에 기회를 줬다 ,243,0,3
2022-05-31 11:50,   개    개 나라 수출 의미,205,0,4
2022-03-22 09:48,에라이   ,176,1,0
2020-08-21 08:20,banj 확실한 공매알바,127,2,0
2021-11-12 08:36,CJ ENM은 메타버스 투자 기획 설계    ,282,1,1
2021-12-12 16:40,비관이 많구나  ,726,2,4
2020-06-26 16:31,  층   ,451,0,0
2020-11-05 15:15,실적 개폭망이다 튀어랏,185,0,0
2020-07-21 12:18,누가 만주 시장가로 던져라,118,2,0
2021-12-16 10:59,내년부터 물적분할 후 동시상장 못하게 제   ,473,9,0
2021-08-06 12:25,  층 깨지게 되있음,310,1,3
2022-06-01 15:34,k콘텐츠의 선두주자가 시가총액  조  천   ,496,9,3
2020-06-03 11:16,본전이네,156,1,0
2020-12-24 09:48,저두 탈출 완료   ,257,3,0
2021-02-05 15:28,   막판에   마넌 먹엇네,222,3,0
2020-06-05 11:23,잴못간넘,201,0,0
2022-01-18 14:08,애드라 도망쳐,181,0,1
2022-01-21 17:12,자기회사 자기가 분할한다는데 도대체 뭐가   ,400,2,12
2021-10-27 18:14,답글   만원 중반대부터 조금씩 다시 담으면됨,890,4,1
2021-04-08 16:41,   ,199,2,0
2021-02-05 14:39,화가  잔뜩나서,145,1,0
2021-06-19 18:24,겨우탈덕  는데 아이즈원 팬들 온다,393,1,9
2020-09-10 15:30,냄새난다 마지막 시튜에이션  ,611,1,0
2020-12-14 10:09,징징대지 마라 싸게사고 얼마나좋으냐   ,220,0,2
2021-02-19 11:23,Pair  조회수가     에 가깝다  ,191,0,2
2021-05-07 11:31,어제 시간외에 팔길 잘함,221,0,3
2020-09-25 12:10,속지마라,269,2,0
2020-09-28 17:09,그냥 홀딩해보세요,310,2,1
2020-07-30 09:25,답글  삭제된 게시물의 답글 상장 통과 되는거   ,426,0,0
2022-05-02 12:59,우리는 윤석열 편이다  ,565,11,13
2022-04-21 16:35,윤석열대통령 관련주입니다 ,219,9,3
2021-10-05 09:26,모지리 틀니들 니들은 이런귀족주 가질능력   ,254,1,1
2020-08-21 05:20,미증시 상승마감   기관 디졌어 OOO들   ,178,3,0
2021-01-29 09:56,너무고맙다  ,241,1,2
2022-04-22 11:42,아   입이 근질거려서  ,185,0,1
2021-12-16 11:36,발기 지속력이 짧아,273,1,0
2021-07-14 11:37,  만원 팔껀데  ,389,2,2
2020-11-30 18:12,오늘은 총알이 없어  만주만,192,1,1
2021-03-04 17:55,보니까,175,2,0
2020-06-12 10:52,탑승합시다 ,134,0,0
2021-12-02 10:20,다내리왔다 버텨라,207,2,2
2020-12-12 13:41,단타도 움직임이 있어야 치지,206,0,0
2020-11-19 03:11,엔터 주 는 안하지만  ,160,1,1
2021-02-16 05:49,CJ enm 왠지 좋아보이는데요  ,363,4,3
2021-10-25 16:48,전지현 연기 진짜     ,229,1,0
2021-01-20 14:41,어디,202,0,1
2022-05-12 12:46,여기 주주님들 수익중이신분이 계시긴한가요   ,358,9,0
2020-08-24 18:32,  일선 지키겠다는 의지,228,1,3
2020-11-29 05:04,프로듀스    같은거 한번 더 하자 ,143,0,0
2021-05-26 09:25,오 좋아  ,127,0,0
2021-07-23 15:21,씨제이는 살작 오를때 끊여 올려야 돼는데   ,482,0,1
2020-06-29 15:55,와       에 들어가서 잘빠져나왔네    ,242,1,2
2021-07-05 15:10,   분기 실적 대박  ,329,2,1
2021-07-07 13:28,아 이틀,141,0,0
2021-11-04 09:29,Sm 인수로 불안감 해소해라,135,1,2
2020-10-16 11:12,한   만원까지 빼주세요,116,2,1
2020-06-16 14:45,얘는 골로간 종목,311,2,0
2020-12-16 14:27,메르치 왔네  안녕,129,0,0
2020-09-03 09:06,방탄이 부릅니다  불타오르네,160,0,0
2021-04-28 19:17,지친다     일이상 묶여있다   내 시   ,126,1,3
2020-08-03 17:01,시간외 폭등 이유가 ,1241,2,8
2022-02-08 18:39,공매도 과열종목,200,1,0
2021-03-11 16:08,그래,201,6,4
2022-03-25 09:13,적정가        원,162,0,0
2021-03-08 12:34,장기투자하면 골로간다는걸 알려주는회사,147,1,0
2022-07-06 19:13,담주까지  만초반봄,217,2,2
2021-03-11 07:18,아이즈원 잘몰라서 찾아보니까,331,1,7
2020-08-27 09:43,나중에쏘겠지 믿는 개미가 바보등신  ,151,1,0
2022-04-01 14:38,지금가격 어떤가요,302,3,1
2022-02-24 11:20,이주식 오를수 있을가요 ,158,0,0
2020-07-23 15:02,어윽,158,0,1
2021-07-01 18:24,답글  삭제된 게시물의 답글 역겹긴하네 차트만   ,97,0,1
2020-06-07 21:01,개 쓰레기  주식  cj enm,248,1,1
2021-02-18 22:55,cj enm    ,5290,30,8
2020-09-15 17:19,이번에 다가올 쇼미더머니  때문에 백퍼    ,662,2,1
2020-09-22 09:43,Enm특징 txt,256,5,0
2020-07-08 10:39,외인    ,208,1,3
2020-08-06 09:24,너두 VI 한번 걸어줘잉  ,181,7,0
2021-05-13 14:06,와 CJ 다 올라가는데    ENM만 떨   ,178,1,0
2021-04-13 12:42,외인매수 떴다  ,158,0,1
2022-02-10 17:33,일반 사업과 흔히 말하는 크리에이터 사업   ,186,2,0
2020-12-07 11:28,  지금 매수타이밍,376,1,0
2021-11-23 08:47,우상향  우상향  급등 급등   이라고    ,225,2,2
2020-12-28 17:09,HBO 소식 아시는 분 정보 공유 부탁드   ,309,0,2
2020-09-16 14:55,cj홈소핑  배  매출증가  이커머스 콘   ,482,5,0
2021-12-02 15:34,형이 주식 시장에서 항상 가슴에 새기는    ,609,1,3
2020-09-02 08:16,오늘도 쌍끌이에,172,2,1
2021-02-05 13:58,남는게 머가 있다고 이렇게 싸게파냐,265,0,0
2021-07-14 12:33,십칠만언제옴 이억대기중,520,1,1
2020-09-16 09:52,이제 수익,245,4,0
2021-03-29 12:49,지수가 반등해도 안올라,96,1,1
2021-09-09 22:56,오늘 슬의생봤냐 ,580,0,0
2021-06-02 11:07,어제판,285,4,1
2020-08-03 10:12,CJ헬로 판  조 어디로 갔나요 ,285,0,0
2020-11-19 09:49,답글  삭제된 게시물의 답글 비트코인으로 간다   ,120,0,0
2021-05-06 17:16,원래는   만원대에서 놀아야할 주식인데 ,384,5,0
2022-05-23 09:37,자꾸,282,2,1
2021-07-06 11:11,얜 그냥 걱정이 없는게,499,4,3
2022-01-25 19:08,내주식 이백주 대여해 갔음,212,0,1
2021-02-07 17:59,한국의 netflix가 될수있다고 본다    ,339,9,5
2022-05-29 11:08,내일 시초가     이상 출발   ,445,3,2
2021-03-30 09:30,천단위로 위 아래로 막아두고   병,97,1,0
2021-11-03 10:16,조정이든 뭐든,173,2,2
2021-12-12 12:50,  월  일까지 매수해야,857,1,4
2021-08-08 15:58,중국사랑 영원하길      ,404,0,0
2021-03-23 19:22,폭락 주식관리를 이렇게 못하시면 ,151,2,0
2021-07-23 03:49,답글  삭제된 게시물의 답글 CJ enm은 조   ,497,1,1
2021-03-15 13:18,문화사업x 차이나 똥 받침대 o,180,5,1
2021-04-21 09:40,다음주 본격 상승,228,1,1
2021-12-03 15:34,코스닥이 다 빨개   ,185,1,0
2021-02-05 13:58,기관 OOO들인가    던지네,135,0,0
2020-09-16 10:36,그만 올라라  ,166,5,0
2021-02-15 11:43,쌈박질 끝나면  ,248,0,0
2021-04-26 10:33,윤여정 테마주 맞다니깐요 상상력을 발휘해   ,160,3,2
2020-06-16 21:07,낼도 우르르 무너지겠구나,185,3,0
2020-06-26 09:25,저점 다시 잡아야겠네   ,211,0,1
2020-06-02 11:25,너무한다,274,3,0
2022-02-11 10:11, 이재명후보님  억울한 정경심교수 석방좀   ,95,0,3
2021-08-03 09:38,돈 많네 인수썰도 뜨고,281,0,1
2021-06-24 20:16,답글 아이즈원은 재결합해도 돈안된다,194,2,2
2021-12-20 15:25,계단식 하락은 기정사실 같습니다  ,521,6,0
2021-03-03 22:33,메타버스,374,0,0
2021-09-15 09:53,경상도 아가씨 ,245,0,0
2021-11-24 11:41,헛웃음 남,156,0,2
2022-07-04 23:03, 만원 위에서 매수 금지,127,2,2
2021-01-19 12:31,가즈아            ,151,1,1
2020-07-11 14:16,   외국인에게 달렷다 주가상승은   ,360,2,7
2020-07-21 15:07,   ,120,1,0
2022-03-04 07:54,답글 문재인정부 욕들 하는데  ,311,8,0
2020-07-02 20:25,무식한 애들 천지고만 급락 조심,385,2,7
2022-03-24 14:16,쓰레기기업,152,4,1
2021-11-12 08:56,고양이 소릴내봐,182,0,0
2022-02-18 18:49,답글 빤스까지 벗는 예술은 하라고 해야지 ,185,2,1
2020-12-18 15:35,뜬금없이 오른거,165,1,0
2020-12-30 10:41,우웩,100,1,0
2021-02-16 16:33,내일도  ,220,1,1
2020-11-19 14:19,여기 상주형들은 고생해,181,0,0
2021-04-12 09:05,호재뉴스,367,2,0
2021-03-14 22:13,이건 뭐 회사가 단타꾼아니냐 ,176,9,2
2022-01-12 11:18,삼프로 작전주,383,0,1
2020-11-02 14:41,  만 매도벽 깨지면     밑으로 바로   ,190,0,0
2020-06-24 14:16,편안  합니다 ,515,14,0
2021-02-17 13:46,평단        아무생각이 없다,464,1,0
2021-04-13 10:26,또 반등하니까,115,0,1
2020-08-04 16:56,악에서 시사회 장난아님 ,606,5,5
2020-09-03 07:17,이번엔    돌파 합니다,199,4,0
2020-11-19 14:50,내가쓴 과거글들 잘 봐라,415,0,2
2021-11-25 10:25,나는 안티도 찬티도 아님,298,5,1
2021-03-09 10:48,어때 enm 맛좀잘보고있어    ,158,0,1
2021-11-04 08:38,오늘 실적발표   ,164,0,0
2020-07-09 16:14,내일도 가나요 ,1273,5,8
2022-04-19 13:18,삼성증권  공매도,289,0,0
2020-08-04 09:07,영화 방송 폭망  ,138,0,0
2020-06-01 11:35,힘내세요   언젠간  가겠지,206,2,0
2021-05-13 15:25,호가창뭐야 ,266,3,0
2021-07-20 08:41,악성매물 다나온거같은데,326,1,2
2021-12-30 00:07,답글 자기회사 자기가 분할한다는데 도대체 뭐가   ,176,4,0
2021-11-29 13:26,cj enm을 매수한자,510,3,2
2021-01-12 22:31,오늘 털린 개민,230,2,0
2021-06-25 08:34,이거랑은 상관없나요  ,236,0,1
2021-06-22 09:59,재수 없는 나,451,1,0
2021-11-24 13:13,튀세요 홈쇼핑주는 노답,147,1,1
2022-04-27 09:18,윤씨 때문에 망한다,336,17,4
2020-11-17 09:50,화이자 나와도 떨어져 모더나 나와도 떨어   ,269,1,0
2021-02-10 10:37,으짜피 저점서 못잡는다,129,0,0
2022-01-25 14:39,줄초상 차트,190,2,1
2021-03-25 20:58,Jtbc 티빙에합류 넷플릭스 top  시   ,111,0,1
2021-05-18 03:52,주봉 차트 보시기 바랍니다 ,798,3,2
2020-12-28 11:25,와 드디어 떳다 터졌다 대단하다,334,1,0
2021-06-04 21:57,이시간 이후로     만원 이하 투자자    ,351,6,3
2020-07-13 09:33, 일 천하도 못 가네,184,5,1
2021-05-03 13:03,불법 공매도 뿌리뽑자,153,0,0
2021-01-28 13:40,혹시 나중에 cgv까지 합병시킨다하면,251,1,0
2021-02-19 12:22,      원대,147,0,0
2021-12-01 11:20,이재현 디지길 기원합니다,229,11,1
2022-03-28 18:25,오늘 아카데미 시상식,173,0,0
2021-03-31 15:57,이야   좋겠다   ,247,3,2
2020-06-10 07:09, 내용무  나스닥       상승 마감 ,134,0,1
2021-04-27 09:43, 월 공매도가,312,3,2
2021-03-29 14:09,파라라,115,1,1
2020-09-18 11:09,동학개미들아 설레발  치지마라,325,1,0
2021-05-07 17:33,음봉 개 나오면,351,2,0
2021-12-10 09:50,으     ,382,2,0
2020-10-08 10:40,hont     이 자식 절라 패죽이고    ,317,7,0
2021-11-25 11:50,쾅 쾅 쾅 도박장 문열어라 ,124,0,2
2020-06-23 23:40,   ,222,1,3
2022-02-21 23:05,왜 요즘 궁같은 드라마,209,0,0
2022-03-22 11:53,답글  삭제된 게시물의 답글 물적분할하면 주가   ,261,0,0
2021-11-21 21:21,물적불할 뉴스는 금요일  장중에 나왔는데   ,776,19,3
2022-01-04 00:30,한국 최고의 엔터테인먼트 홈쇼핑 기업,366,1,4
2021-06-02 16:07,다들목표가가우째되심니까,492,0,0
2020-11-09 14:46,    결국,142,0,0
2020-08-13 09:13,답글  삭제된 게시물의 답글 주가조작으로 저평   ,42,0,0
2022-01-07 11:46,모두와 다르게,243,0,1
2021-11-26 13:47,이재핸 이쓰렉아 그냥  져라,211,10,0
2020-09-18 09:18,  깨지믄 투매나온다  ,199,0,2
2020-09-15 23:26,답글 추억의   만원 ,80,0,0
2020-08-11 16:49,이재명   만석 규모  K팝 아레나  사   ,753,6,1
2021-11-23 12:25,도대체 얘는   만원대에서 왜 벗어나질    ,296,0,0
2021-02-17 09:34,장초에는 enm 사는거아니다   ,132,0,2
2020-08-06 10:19,중요한건   만원을 넘느냐다 ,177,1,0
