날짜,댓글,조회수,좋아요,싫어요
2021-02-04 14:09,이건 마치   ,294,4,0
2021-02-04 08:44,연기금  행태 국민청원 입니다 ,230,0,0
2022-04-20 10:22,  만 가자,702,0,0
2021-02-06 10:19,기아차주주들은 거지들이라,171,0,0
2022-05-10 11:10,숨겨진 호재 ,1147,2,0
2021-12-20 12:10,어차피 내려갈거,680,3,1
2021-02-08 12:30,물린개관들,131,0,1
2022-05-10 10:39,이런장일수록 부분매수가답이지,895,4,0
2021-02-08 10:13,키움 미래 삼성  nh,105,0,0
2021-01-21 18:01,앞으로 이가격 절대 안옵니다 ,820,6,2
2021-02-06 10:51,   벤츠란다 차알못들     ,230,1,1
2021-04-30 10:43, 만원에,528,1,0
2021-02-08 13:32,대피해라,125,1,1
2020-10-27 17:13,현대기아차 중 사지 말아야 할   개 모   ,750,0,0
2021-01-19 19:18,여기 기사정확히 나와있네 점상 방,329,1,0
2021-03-08 20:33,기아 ,828,22,0
2020-09-02 21:06,기아차,1055,7,0
2021-02-10 01:15,혹시 설마,616,3,0
2021-02-10 04:09,여기가 기아체험  시 하는곳인가요 ,372,1,0
2021-06-15 14:11,카카오세상,1213,0,3
2021-03-20 10:34,기아차     현대차  시총비교 빵터짐 ,1637,19,3
2021-01-21 09:33,유니온머티리얼 바이든 중국 희토류 무역보   ,299,0,0
2022-01-27 11:01,기아주주 부럽다 ,441,1,0
2021-02-27 21:09,단타치다 물려서 역였습니다,1033,0,0
2021-01-19 19:39,현대차와 애플카  그리고 환경 버블 시대,186,0,0
2021-02-03 10:29,애플 찌라시에 또 쳐물렸지,225,1,0
2021-01-21 00:42,게시판보면 겁나 이해안간다,780,5,1
2020-10-21 17:07,이거 끝난지가 언젠데,660,1,4
2021-01-24 19:36,해외 유명 자동차 회사들,924,1,3
2022-04-11 23:24,양산매곡동사저 외진곳막다른집을 시세의 배   ,607,6,13
2021-02-06 21:28,거의  끝 났습니다 kbs  시뉴스 까지   ,240,7,1
2021-02-04 11:34,떨어져서 불안하다 투기  떨어지면 더 산   ,285,1,0
