날짜,댓글,조회수,좋아요,싫어요
2021-01-08 14:09,현대가 애플 키아줄까 ,429,0,0
2020-12-04 11:10,딱 이자리에서    급등아님 급락,399,0,1
2022-05-26 08:58,엘전 목표가는   만 정도로 하향해야 맞   ,717,1,5
2022-07-08 09:04,세력 트릭에 속아,730,1,2
2021-01-22 16:14,안티가 많아진거보니,369,4,2
2021-06-03 09:26,머야 이거   ,629,4,0
2021-09-28 09:26, ,218,0,0
2022-07-02 16:06,주식하면서,1365,2,5
2022-07-08 14:34,종가배팅,627,1,0
2022-07-09 04:39,그런 촉이라면 주식 접어라,1900,2,2
2021-02-23 10:04,  까지 내려오면,310,0,1
2021-05-18 09:59,이제는,551,0,1
2021-12-09 16:39,기다리면 가겠지,507,2,3
2021-05-04 09:39,이번달 중후반까진 외기들 숏포및 공매 구   ,488,2,2
2021-01-14 08:51,무섭게 쳐내리는구나,378,2,1
2021-03-29 12:56,폭락 하긋냐  ,376,3,2
2022-04-14 11:34,전자도 많이 올랐지만 다시 시작하는,745,3,5
2022-04-07 20:43,영업이익 초과는  그기 아니라,700,1,15
2022-04-06 22:00,굉모야,458,1,1
2021-04-14 13:49,일단 한온시스템부터 매수하자,666,0,2
2022-05-19 15:10,회사 없어지나요 ,323,0,0
2022-04-05 15:13,       입성,914,3,2
2021-12-20 15:24,위기급은 아니라는 의견 ,629,6,3
2021-04-04 02:55,    비트코인 악재  뉴스 ,1453,7,2
2020-12-24 10:53,생각보다 안빠지네   ,391,1,0
2022-07-08 15:45,전저점  만 중반 샀다가,720,0,0
2021-12-23 14:55,애플카,499,2,0
2022-03-31 14:48,개 개개개개,560,1,1
2022-03-16 11:58,진심 최고 개잡주다 ,631,6,4
2021-01-20 20:59,mc제거했을때,428,3,1
2020-12-29 02:02,현기차가 시총   조인데,648,3,3
2022-05-26 14:21,하이닉스랑,587,0,0
2020-06-18 13:23,엘전,459,1,2
2022-04-14 08:53,      에 걸어놓고 여친을만나던지,672,1,4
2020-09-01 17:23, 우리 LG전자    월 달을 맞이하여    ,1198,23,3
2021-04-05 10:17,분할매수 최적기 ,409,4,1
2020-12-10 09:56,답글  삭제된 게시물의 답글 오랜만에 코스피    ,346,1,1
2021-03-25 16:57,와   월 일 기대하시길 ,1361,25,41
2020-12-23 14:31,시장조성자 공매도가       ,295,1,0
2020-09-02 11:00,그만 묵고 팔까 싶네,862,5,0
2021-08-04 08:17,염씨가 언급한 종목,751,5,3
2021-06-14 16:42,아니 형들 같이 가기로 한거 아녔어 ,693,1,0
2021-01-20 10:27,LG전자   천억 규모 상생협력펀드에     ,255,0,0
2020-06-19 14:53,정으니 암살은 접시에 물 좀 찰랑찰랑 받   ,486,2,2
2020-08-26 12:26,내일까지 하락 ,663,5,1
2021-01-20 16:16,lg오르는 이유,333,1,0
2022-04-23 06:12,어제 올린글 다시 올립니다,1669,5,10
2021-01-20 16:43,요즘 가전 모바일로 제어 다 하는데 아휴,482,2,3
2021-02-03 14:59,  층은 너무 춥다,423,3,0
2021-12-13 09:38,또 애플카로 억지 엮여서 상승      ,755,1,2
2021-09-01 07:54,답글   LG 마그나   전기차부품 수요 폭발   ,319,7,3
2020-09-09 16:54,이 시점에서  윙의 결과를 무시할수 없을   ,471,0,2
2021-02-19 12:40,겁나게 왜 슬금슬금 올라가는거지,410,0,1
2021-03-24 07:58,아이고  ,581,1,3
2020-06-13 12:11,yemi    너 애국자니까    맥주    ,1222,14,0
2020-11-10 10:00,왠지 오늘부터 달릴것 같은 느낌이,386,1,2
2021-03-15 12:42,수급이 너무  같네요,1111,4,1
2021-01-01 19:28,답글  삭제된 게시물의 답글 월욜          ,1063,8,6
2022-04-06 10:46,몰빵 쳐볼만한 자리네,860,6,3
2020-12-29 14:12,내가 이런종목 잘아는데,285,2,0
2022-04-13 11:21,배당이라도,848,3,0
2021-09-23 09:18,진짜 조상님이 계신건가    ,303,0,0
2022-03-24 10:42,애플카랑 아무 상관 없는종목 ,499,0,2
2020-12-28 10:34,전군단,202,0,0
2022-05-12 14:50,      내일주가예상      ,340,2,0
2021-09-16 09:40,화끈하게    빼고시작해라,253,1,1
2021-07-13 14:17,내일장이 더기대되네요,390,1,0
2021-04-19 08:15,배당금 언제주나여,543,0,3
2021-05-07 09:53,LG전자,388,0,1
2021-01-12 13:45,어차피 거의 기관때문에,280,2,1
2021-06-27 14:34,답글  그걸인제알안냐   ,852,0,0
2021-02-15 11:29,오르던지 떨어지든지,384,0,0
2021-04-03 10:56,불금날,1463,15,4
2020-12-24 10:23,    ,250,0,0
2021-06-25 14:52,동네 깡패,479,0,0
2020-06-03 14:28,내일빵 한번 터질 분위기,649,6,1
2021-01-22 09:47,가만히 좀 있어라 좀  ,336,2,0
2022-05-19 09:54,두달에  조,361,1,0
2022-06-09 08:35,성탄절이 토요일  일요일일 경우 월요일을   ,829,1,6
2021-01-26 08:54,lg전자 대호재들 발생 파괴력 큰 뉴스들   ,495,2,0
2021-11-19 12:52,뭘그리 걱정들 하시나,631,3,1
2021-09-23 12:03,누가보면 리콜 엘지전자가 독박쓴줄알겠네    ,341,2,0
2021-03-29 20:49, 조     억 이라고 하는데 뭔 구라야   ,407,6,4
2021-08-30 10:10,답글 삼성이 초일류기업이 된 이유      ,156,1,1
2020-06-16 09:37,지  이제부터 지수가 설사하기 시작할듯 ,411,2,3
2020-12-02 11:38,반도체    조전자,416,1,2
2020-12-28 16:21,계속 갈 종목,216,1,0
2021-01-20 07:50,찌라시에 반응하는 기아차 개미들,429,4,2
2020-06-23 11:02,주봉,396,2,2
2021-09-03 16:14,시간외 왜그럼 ,841,0,0
2022-03-21 09:10,좀 올라가자,614,0,2
2021-05-07 09:43,진짜올리기 싫은가보다  ,401,0,0
2022-06-29 14:09,쬠,564,0,2
2021-09-02 12:07, LG배터리 화재 원인은 분리막 때문 아   ,291,1,2
2021-01-13 08:27,엘지폰끝내주네 삼전폰앞서겠네,197,2,1
2020-08-10 15:50,답글 창피하지만,461,2,0
2020-09-10 18:54,     원대에서 미끄럼틀 주우욱 밀려    ,671,19,5
2021-10-12 14:11,    억이면,619,0,0
2020-12-24 09:53,개미털기후 상승곡선 이끌어나가자 쌍끄리    ,290,0,2
2020-12-28 10:29,코스피 떡락중,215,0,0
2021-03-03 09:04,시초가 보니,479,1,3
2022-06-30 07:07,곧 공매금지 카드를 만지작 거리지 않을까   ,409,0,0
2021-05-11 15:36,최고급 LG대형 냉장고 한대 날라갔네,438,2,0
2021-02-18 09:41,주도주로 자리 잡았네   ,310,0,0
2021-03-18 08:44,      원에   주매수완,630,0,0
2021-01-21 08:39,그만팔아,250,0,0
2022-01-26 18:04,찬티들도 멘붕 ,470,3,1
2020-12-23 21:41,LG전자  전기차 사업 분할   엘지마그   ,356,2,1
2021-07-01 21:43,내일은   만 깨지는 날,1117,8,12
2022-01-13 10:49,전장사업 분할하나 ,404,0,0
2022-06-22 09:50,아이구두야,614,0,0
2021-05-21 09:09,걸레는 공매도 밥이다 ,451,4,0
2021-01-21 14:45,동생 엘전우 상갔다 형도 가자 ,215,0,0
2020-12-29 16:18,단일가는 전자우고만 본주는 아닌거자너,242,1,0
2021-01-31 08:23,  년후    년미래모습,484,1,0
2020-07-18 13:20,팔았는가,978,4,0
2022-05-15 10:26,펀더멘털중시,1165,0,2
2021-03-04 13:02,개관븅,403,1,0
2021-02-17 11:15,주식의기본 ,344,2,0
2022-05-11 10:15,헬쥐 그룹주들은 오늘이 제일 비싸다      ,496,3,0
2021-02-01 12:43,천천히 갑시다  ,199,2,1
2022-03-04 09:33,개전자  또 추락,425,1,1
2021-02-09 14:50,종특 시전,274,0,1
2022-07-05 10:44,  만원 이하 매수하면,843,1,3
2020-12-24 11:37,간다,339,5,2
2022-05-17 14:32, 투신의 이러한행위 의도적 주가조작아닌가   ,396,0,0
2020-09-02 14:41,엘전 손절하고,942,1,0
2020-12-28 18:46,단일가하면 보통,638,2,3
2020-09-17 04:54,LG 전자         원으로        ,640,2,5
2020-09-25 09:57,  만상륙작전 D day,506,4,0
2021-01-12 08:59,빨리던지는자 승자,289,1,2
2021-02-20 14:55,기다려라 백만전자  ,827,6,0
2021-01-27 09:04,역시 외인넘들 주가 떨어뜨릴려고,291,0,0
2021-01-13 13:48,개관 식끼덜,221,0,1
2021-01-18 17:42,삼전은 시간외 제자리 찾아가는데,876,0,2
2021-04-05 10:44,  시  분 거래재게,389,0,0
2020-12-23 12:02,외국인 순매수  위답군,274,0,1
2021-07-20 14:58,어차피,414,0,2
2021-04-07 12:41,야 근대 저번에 현차 우   만주 주문오   ,450,0,0
2022-06-16 10:35,내말이   ,646,2,2
2022-03-04 11:56,무능한 광모세기 비전도 없고 ,413,2,0
2021-07-06 10:16, 천억만 사자,427,0,0
2021-03-24 12:00,거래량,461,3,1
2021-05-05 23:47,회원외 잡상인 출입금지,539,0,0
2021-12-13 18:25,전장사업으로,693,14,2
2021-03-06 10:05,   뉴스 연기금 국내주식 비중 확대,1264,4,0
2022-01-28 13:33,고민중     ,544,1,1
2021-02-16 08:10,제발 조용히좀 해라,401,5,7
2020-11-10 06:15,최민희 김어준 츔애    인의 공통점 ,450,2,2
2021-11-27 11:05,폭풍은 잠시 지나가게 돼 있다 항공사여행   ,778,2,0
2021-01-18 23:01,국민의 심판을 받아야 되겠죠,210,0,2
2021-09-07 15:38,씹어먹어도 시원찮을 구역질나는 걸레전자,614,16,8
2021-12-17 19:18,드디어 애플이 엘쥐와 손잡았네,822,5,5
2022-01-03 11:21,     오늘기분 최고다 보합전자다      ,697,3,4
2021-03-17 16:55, 일선 타고 상승추세  양음양패턴의 반복,814,19,0
2021-02-04 15:27,LG전자   만원 갑니다 ,546,3,3
2020-09-10 11:10,V   쓰는데 노트  보다 훨씬낫다,511,3,1
2021-11-01 15:37,얘는 그냥,448,9,1
2021-03-09 13:42,답글  삭제된 게시물의 답글 내가 드디어 매수   ,357,2,0
2022-01-11 09:34,적극매수,542,1,5
2021-02-26 09:50,먼가 꿈틀거리는데   ,548,6,2
2020-12-24 13:27,아 나가린데  ,286,0,0
2022-06-15 09:43, 미디어언론보면 기승전경제위기니 폭락에토   ,714,0,0
2021-10-07 13:37,긴급  미중 호재나오나  단기고점은,334,0,2
