,날짜,댓글,조회수,좋아요,싫어요
101,2022-07-01,삼성전자 4만원대 오긋네,141,2,1
102,2022-07-01,주식 하지마세요,142,1,1
103,2022-07-01,욕나온다,112,0,0
104,2022-07-01,개미들이 흥분해서 매수하면!,126,2,1
105,2022-07-01,답글:[삭제된 게시물의 답글]윤석열의 탈중국 ...,97,2,2
106,2022-07-01,답글:[삭제된 게시물의 답글]윤석열 뽑은 20...,227,13,8
107,2022-07-01,◆ ===선제타격 이유 있었나벼?? 채널...,164,4,3
108,2022-07-01,?,100,0,2
109,2022-07-01,우리나라가유독약한게아니고 개미들이,185,2,1
110,2022-07-01,오늘안빠진다고 괜찮은게아니고 좀더무너지면,216,5,2
111,2022-07-01,■■조만간...역대급...폭락온다■■,165,1,3
112,2022-07-01,정리들하세요,272,3,2
113,2022-07-01,요즘! 셀트리온 장하네~~~,291,5,2
114,2022-07-01,"이 재 명 대통령되면,",205,3,14
115,2022-07-01,셀트..램시마SC..강력 파이프라인..장...,167,2,2
116,2022-07-01,아이큐어만 급등하네,150,2,2
117,2022-07-01,평단 푸근하네,127,0,1
118,2022-07-01,시장대비 강하다~~~,136,2,1
119,2022-07-01,8만 2천원 입벌리고 있읍니다,144,3,6
120,2022-07-01,답글:큰 ㅂ ㅅ이네,103,6,2
121,2022-07-01,답글:찢재명 아직살아있네 ㅋㅋㅋ,91,2,0
122,2022-07-01,강하게 시장을 저항하네..,146,1,3
123,2022-07-01,"증권가, 7월 코스피 2,200까지 추락...",130,0,0
124,2022-07-01,이거 2만원까지 올까요?,176,1,2
125,2022-07-01,힘줘,92,0,0
126,2022-07-01,오늘 종가 -3% 예상합니다.,129,5,0
127,2022-07-01,셀트...강력 성장성...상승 가즈아~~,115,1,1
128,2022-07-01,서정진,108,2,1
129,2022-07-01,답글:서정진,103,3,2
130,2022-07-01,"포스코 동생 캐미컬 자는 왜 저래,,",107,0,0
131,2022-07-01,적정가치 계산,123,2,1
132,2022-07-01,자사주 매입해서 소각해라,154,11,0
133,2022-07-01,역시,127,2,0
134,2022-07-01,셀트..호실적. 합병이슈로 대 상승 가즈...,221,3,2
135,2022-07-01,"솔직히 한마디 반만 할께요,,",150,1,2
136,2022-07-01,18만원 안착이조금버겁지만 믿는다,161,6,1
137,2022-07-01,200선 절대 못뚤는다,172,0,1
138,2022-07-01,개미들아,111,0,1
139,2022-07-01,주린이들은 사기꾼 유튜브!,141,4,2
140,2022-07-01,바이오 간다고 유 튜브,176,1,1
141,2022-07-01,14만 원대 가네,181,2,2
142,2022-07-01,지수가 반등하려나 보다..,181,3,2
143,2022-07-01,드디어집나간개미들 들어오네 얼마만이고,156,0,2
144,2022-07-01,이제 다시,120,1,3
145,2022-07-01,매수타이밍 재는 중입니다(176500),142,0,2
146,2022-07-01,닥치고 25만간다,183,4,2
147,2022-07-01,대세상승 입니다,166,1,0
148,2022-07-01,외인,129,1,0
149,2022-07-01,공매도 싸그리 쥑여 버러야지,112,0,0
150,2022-07-01,외인 자본 모두가,141,2,0
151,2022-07-01,더빼서 투매유발!,114,2,0
152,2022-07-01,이번 정권에서 주식으로 돈 벌긴 글렀다,231,16,2
153,2022-07-01,다시 140000원 대로!,124,2,2
154,2022-07-01,개미들아 신용써서 팍팍사라 ㅋㅋㅋ,125,1,3
155,2022-07-01,답글:개미들아 신용써서 팍팍사라 ㅋㅋㅋ,98,1,0
156,2022-07-01,가자  개미들아  너그들 힘을보려줘,111,0,2
157,2022-07-01,신한금투   제약.바이오 비중확대,145,3,0
158,2022-07-01,가즈아 145,108,1,1
159,2022-07-01,개미 또 붙네 ~쉬는것이 돈번다 ~개미야,141,1,1
160,2022-07-01,털고...더 크게 대 상승 가즈아~~,139,1,2
161,2022-07-01,더 빼라!,143,1,1
162,2022-07-01,그럼그렇지,155,4,1
163,2022-07-01,잡트리온 쓰레기 개잡주들,115,1,0
164,2022-07-01,셀트리온 목표주가,254,1,2
165,2022-07-01,대명에너지 유동주식14% 주식수240만주...,128,0,0
166,2022-07-01,미틴 개미들 때문에!,137,3,0
167,2022-07-01,[부동산폭락은 우리안에서지만 공매도는 국...,118,0,0
168,2022-07-01,●Re.홧팅ㆍ새글×●,203,3,1
169,2022-07-01,셀트리온 오늘,186,0,0
170,2022-07-01,기간조정일까 가격 조정일까,289,0,1
171,2022-07-01,블럭딜,274,4,5
172,2022-07-01,돼지네?@?@?@?@야,144,1,1
173,2022-07-01,역시,133,1,2
174,2022-07-01,ㅜㅜ,121,0,1
175,2022-07-01,더큰 슈팅이 옵니다,225,0,0
176,2022-07-01,나토 회의 외교 결례 일파만파,235,5,7
177,2022-07-01,"통기계 운전솜씨,,,",133,0,0
178,2022-07-01,개미,129,0,0
179,2022-07-01,양봉마감을 예상해봅니다,128,0,1
180,2022-07-01,또털렸쥬?,134,0,0
181,2022-07-01,드디어 운지하노,140,0,6
182,2022-07-01,답글:[삭제된 게시물의 답글]한미일 3각 공조...,117,2,1
183,2022-07-01,답글:[삭제된 게시물의 답글]한미일 3각 공조...,94,2,0
184,2022-07-01,셀트리온,162,3,1
185,2022-07-01,어차피 많이 못내려요~,202,2,2
186,2022-07-01,치료제 해외반응,204,0,3
187,2022-07-01,고집 쎈넘들은 주식하믄 안돼~~,144,1,0
188,2022-07-01,개미들아 더팔아재껴라!!,136,1,0
189,2022-07-01,"개팔아,,,",118,0,1
190,2022-07-01,dbsr님 존경  합니다   숏첫는데,131,4,0
191,2022-07-01,아직 지하는 있다,130,2,1
192,2022-07-01,정리들하세요,178,6,0
193,2022-07-01,가격 조정의 날,151,0,0
194,2022-07-01,공견들 이길수 있어요?,125,0,0
195,2022-07-01,이재명이 당대표를 하면 민주당이야? 통진...,131,1,1
196,2022-07-01,개미들 때문에!,159,1,0
197,2022-07-01,공매도 총  출동할  태세  서정진  자...,161,0,1
198,2022-07-01,ㅎㅎ개미들산다요  사자말자  물리죠,126,1,0
199,2022-07-01,오늘은 보합만 지켜라,136,0,2
200,2022-07-01,7원안에 이재명 부른답니다.,146,2,2
201,2022-07-01,외인 모간이가 셀트를 왜 살까?,164,0,0
202,2022-07-01,"비둘기파 메스터 美 연은 총재 ""7월 0...",184,3,0
203,2022-07-01,드럽게 뜸들이네,158,0,1
204,2022-07-01,조금 있으면 다시 오릅니다,172,2,2
205,2022-07-01,개미들이!,141,1,0
206,2022-07-01,공매도  세력은  역시나,189,2,1
207,2022-07-01,그동안 넘들에게 징글맞게 디어갖고,145,0,0
208,2022-07-01,아이구,159,1,0
209,2022-07-01,셀트..수급 털고..대 상승 가즈아~~,177,3,0
210,2022-07-01,반등시 빨리 현금화해야 합니다,202,0,4
211,2022-07-01,주가지수 반대로 가는건,192,0,0
212,2022-07-01,개미가 사면,150,1,0
213,2022-07-01,공매도 치시는분들,149,2,0
214,2022-07-01,16.3,136,1,0
215,2022-07-01,오늘종가는,163,3,1
216,2022-07-01,다음수순 모간이 목표가 낮추고 공매때리고,193,1,1
217,2022-07-01,개미덜,153,1,1
218,2022-07-01,셀트리온본섹나오죠,172,1,1
219,2022-07-01,모간이는 우호세력이 아녜요,136,0,1
220,2022-07-01,나란히 출근했네 ap cj ㅋㅋㅋ,167,1,1
221,2022-07-01,셀트리온,173,2,1
222,2022-07-01,새미들산다 ㅎㅎㅎ,173,1,3
223,2022-07-01,첫날부터,169,2,1
224,2022-07-01,개인만  파는구나 ㆍㆍ ㆍ,150,0,3
225,2022-07-01,리딩방 사기꾼들 보거라,133,0,0
226,2022-07-01,10원짜리 개잡주처럼 쳐 빼네,136,2,2
227,2022-07-01,공매,137,1,0
228,2022-07-01,개미 떨구기!,144,2,0
229,2022-07-01,오늘까지 상승은 힘들듯~~~,166,2,4
230,2022-07-01,개미들 주가 조금 올라간다고!,163,2,0
231,2022-07-01,제이피모간은 모든 물량을 잡주에 이빠이,138,1,0
232,2022-07-01,"셀트리온_갖 고계신 .분만 ,.,..",165,0,1
233,2022-07-01,셀트..호실적. 합병이슈로 대 상승 가즈...,168,1,0
234,2022-07-01,렉키로나 기술수출해라~~~,166,1,1
235,2022-07-01,살녀주세요!   어제 솟 첫어요!,183,0,1
236,2022-07-01,"셀트리온_갖 고계신 .분만 ,.,..",136,0,2
237,2022-07-01,30만원을 향하여~~,274,11,1
238,2022-07-01,셀트 30만 가좌~~~,198,4,1
239,2022-07-01,어쩜좋니,199,0,0
240,2022-07-01,200일선,250,1,4
241,2022-07-01,나이서  가즈아,147,1,0
242,2022-07-01,개미 들은 통곡 한다...,282,4,0
243,2022-07-01,사지는 않지만 응원합니다,207,1,1
244,2022-07-01,올해 안 전고점 28만원 돌파,178,2,1
245,2022-07-01,현금관망신 3억 대기중,167,1,3
246,2022-07-01,민주당 역활커질것,159,2,3
247,2022-07-01,나스닥 초급등 중 ㅋㅋ,211,2,1
248,2022-07-01,오늘 개미들 벌때처럼 달려들게,194,2,1
249,2022-07-01,안녕하세요 미래에서 왔습니다.,334,2,6
250,2022-07-01,요즘 장에서는  하락안하고 거꾸로 강을 ...,210,0,1
251,2022-07-01,개망신,181,0,4
252,2022-07-01,[세계화실체 그리고 공매도신디케이트..인...,223,3,1
253,2022-07-01,사리분별도 못하면서 ...,229,6,7
254,2022-07-01,100만간다,431,16,7
255,2022-07-01,여기부터는 고수의 영역이다 더오르는건 어...,402,5,8
256,2022-07-01,양호,180,0,2
257,2022-07-01,나스닥과 코인 박살 나는구려!,267,3,1
258,2022-07-01,정치판 다 싸잡아서  죄가 있다고 하지말...,214,3,7
259,2022-07-01,오늘~~,290,3,4
260,2022-07-01,"오늘의 상한가는 232,000원입니다",278,7,2
261,2022-07-01,오늘종가예상,399,8,4
262,2022-07-01,윤석열이 대통령감이냐?,425,21,42
263,2022-07-01,답글:윤석열이 대통령감이냐?,176,5,1
264,2022-07-01,답글:윤석열이 대통령감이냐?,98,0,0
265,2022-07-01,2년전 부터 권정호가 한 말 ~^^,440,6,8
266,2022-07-01,답글:2년전 부터 권정호가 한 말 ~^^,166,1,1
267,2022-07-01,윤통 나라를 어렵게할것,344,19,6
268,2022-07-01,국방부  2022년  상반기  우수상용품...,200,0,0
269,2022-07-01,달려,247,3,2
270,2022-07-01,답글:달려,125,0,0
271,2022-07-01,분기 첫날부터,329,3,4
272,2022-07-01,니들 주군 사진 찍는데 잠잔다.,211,2,0
273,2022-07-01,셀트 주식 참 어렵지만  많이 배우고 있...,363,18,5
274,2022-07-01,https://youtu.be/LUTwx...,208,1,1
275,2022-07-01,https://youtu.be/Z-tuZ...,189,0,1
276,2022-07-01,매동추이보니,531,9,4
277,2022-07-01,답글:매동추이보니,229,1,1
278,2022-07-01,?석열,263,7,2
279,2022-07-01,답글:?석열,179,4,0
280,2022-07-01,나토 홈페이지 메인 사진에 윤석렬 눈 감...,432,15,3
281,2022-07-01,나노씨엠에스  셀트리온에서  계열사로  ...,324,0,1
282,2022-07-01,워렌버핏이 했던 명언중,412,3,2
283,2022-07-01,미장 하락장이네 낼부터 폭락한다 셀트리온,547,7,8
284,2022-07-01,셀트리온 최고가 온다,476,11,3
285,2022-07-01,셀트는 내일도,442,5,2
286,2022-07-01,챠트 20일선이 60일선 크로스해서,417,3,3
287,2022-07-01,답글:챠트 20일선이 60일선 크로스해서,144,0,0
