,날짜,댓글,조회수,좋아요,싫어요
97,2022-07-01,윤석열  찍은 사람 손,189,29,4
98,2022-07-01,소문듣고 왔습니다,83,8,2
99,2022-07-01,개인,72,1,1
100,2022-07-01,TV조선 튼 음식점은 가지마라,99,25,1
101,2022-07-01,자전거래로 공포감만,60,2,0
102,2022-07-01,김건희 이여자 뭐냐,212,4,28
103,2022-07-01,우리는 친북중러 반미일유럽이 정답입니다.,115,3,5
104,2022-07-01,걱정말아요,72,1,6
105,2022-07-01,이재명이 대통령이었다면..,149,31,3
106,2022-07-01,주가조작 콜걸이 왕이다,70,13,2
107,2022-07-01,좀 더...,53,4,0
108,2022-07-01,여기 아직도 윤짜장 빨아주는놈이 많네,150,20,3
109,2022-07-01,좋아요 50개찍으면 범국민하야운동 카페 ...,74,7,1
110,2022-07-01,윤짜장,67,14,3
111,2022-07-01,윤띨띨이가 한건했네 ㅋㅋ,128,14,3
112,2022-07-01,아모레주주들이 대표해서 광화문 범국민 촛...,80,12,3
113,2022-07-01,폭탄주나 쳐마시지,82,13,3
114,2022-07-01,윤석열을 몰아내고 조국장관을 대통령으로!...,98,21,4
115,2022-07-01,범국민 윤석열 하야운동 모두 동참해주세요,142,28,4
116,2022-07-01,중국을 버리고 유럽을 취한다,130,4,15
117,2022-07-01,윤석열 하야 범국민 촛불집회 개최합시다,77,18,3
118,2022-07-01,13만2천냥,126,3,1
119,2022-07-01,김거니  대통령님!ㅆ,102,9,3
120,2022-07-01,공매치러 왔다가 돈만벌고 가지요~,70,2,1
121,2022-07-01,유럽 대통령 부인중들  거니 얼굴이 젤 ...,206,29,3
122,2022-07-01,이념병걸린 대통령...,191,30,6
123,2022-07-01,지금 와이티엔에서,273,33,5
124,2022-07-01,한총리 보복 있어도 원칙 지킬것,207,8,15
125,2022-07-01,김건희 여사님,107,5,4
126,2022-07-01,윤트라리스크,112,10,7
127,2022-07-01,우리나라 기술 수출1위 국가 중국,156,12,9
128,2022-07-01,나락행,100,11,5
129,2022-07-01,문재앙이 싸지른 똥,290,9,54
130,2022-07-01,여사님...,161,14,6
131,2022-07-01,벌써 반등하려고,78,7,3
132,2022-07-01,주식하는 사람들이 2번찍은것은,172,27,8
133,2022-07-01,다짜고짜 탈중국,190,26,7
134,2022-07-01,태생이 왕인 윤통이다 태생이 천한것들아 ...,152,17,6
135,2022-07-01,ㅋㅋ여기 게시판도,112,6,8
136,2022-07-01,답글:아모레 주주 아니네 진짜 주주라면 저런 ...,110,9,4
137,2022-07-01,위대하신 대한민국대통령께서 탈중국을외치셨...,177,23,7
138,2022-07-01,2찍님들 ㅊㅋㅊㅋ,98,13,2
139,2022-07-01,윤석열 수혜주라고 듣고 왔습니다.,185,23,0
140,2022-07-01,어느,111,4,1
141,2022-07-01,경수석,115,8,1
142,2022-07-01,오늘 다시 반등이다 숏충들아,73,2,0
143,2022-07-01,속보 ㅡㅡ 탈중국,153,11,1
144,2022-07-01,52년만 최대하락 ㅡㅡ,78,1,2
145,2022-07-01,중국에 수출 할 생각마라,114,7,3
146,2022-07-01,윤석열 관련주,88,4,1
147,2022-07-01,상승 가능성 있다,74,2,2
148,2022-07-01,정부 탈중국 전부터 중국시장이 황폐화되었...,91,2,8
149,2022-07-01,중국 자극 ㅡㅡㅡ,72,4,1
150,2022-07-01,뉴스 ㅡ 탈중국,88,8,0
151,2022-07-01,정치의 최우선은 국민의 삶이다!,75,16,1
152,2022-07-01,"뉴욕증시, 높은 물가 지속에 하락세로 출...",39,0,0
153,2022-07-01,윤무식 찍은사람  곧,80,15,1
154,2022-07-01,불난 숲에 기름부었으니,52,2,0
155,2022-07-01,선제 타격의 의미,62,11,1
156,2022-07-01,중공의 반격이 두렵다 ㄷㄷㄷ,57,2,1
157,2022-07-01,윤,52,3,1
158,2022-07-01,[부동산은 최대 -90%까지주저앉을것],56,0,0
159,2022-07-01,영부인 이 주가조작 선수,56,3,1
160,2022-07-01,덕유산에서 내려 왔습니다,133,2,0
161,2022-07-01,짱개들에게 버림받은 이유?,102,5,1
162,2022-07-01,최상목이는 물건 한번 안 팔아 본 놈이,139,12,1
163,2022-07-01,급락 원인,151,6,22
164,2022-07-01,답글:급락 원인,61,4,1
165,2022-07-01,대통령하나 잘 뽑았을뿐인데,168,17,1
166,2022-07-01,오늘 존나 씨게 내려요,72,1,0
167,2022-07-01,K뷰티 찐수혜주라고 듣고 왔습니다~,138,3,8
168,2022-07-01,답글:K뷰티 찐수혜주라고 듣고 왔습니다~,82,3,1
169,2022-07-01,사촌언니 큰일이네요,229,31,3
170,2022-07-01,최대 교역국 중국을 외면하다니..,314,38,4
171,2022-07-01,중국의 입장....미국과중국의 윤활유역할...,223,4,0
172,2022-07-01,답글:[삭제된 게시물의 답글]탈중국이 답입니다,67,5,1
173,2022-07-01,중국 아니였어도 오버밸류,125,3,2
174,2022-07-01,명신이 명박이,107,6,1
175,2022-07-01,아모레퍼시픽 주가 올리는 딱 하나의 방법...,226,20,3
176,2022-07-01,지금 상황이 얼마나 심각하면 상황이냐면 ...,273,24,4
177,2022-07-01,짜장,146,6,2
178,2022-07-01,군사동맹 나토에 경제외교 하러갔단다..,206,18,3
179,2022-07-01,경제수석 또라이냐 뭐냐?,195,19,3
180,2022-07-01,[세계화실체 그리고 공매도신디케이트..인...,64,0,0
181,2022-07-01,일본 수출규제때 일본관련주,239,2,14
182,2022-07-01,경제수석 발언 충격적이네,244,28,3
183,2022-07-01,아모레 주주이면서 2번찍들 니들은,209,30,3
184,2022-07-01,소름끼치는 사실,205,27,3
185,2022-07-01,양심있음 per 20 까진 떨구고 시작하...,50,1,0
186,2022-07-01,이제 어쩌냐,197,13,3
187,2022-07-01,지금당장탄핵안면 젓된다,168,16,4
188,2022-07-01,돈때문에 나라팔아먹을ㄴ들,265,6,32
189,2022-07-01,답글:돈때문에 나라팔아먹을ㄴ들,35,0,1
