,날짜,댓글,조회수,좋아요,싫어요
98,2022-07-01,콜걸,46,12,1
99,2022-07-01,답글:콜걸,26,0,0
100,2022-07-01,답글:콜걸,26,0,0
101,2022-07-01,월요일은,40,2,1
102,2022-07-01,정은 핵쏘면,28,0,1
103,2022-07-01,"삼전,, 나스닥 고점 16000,, 현재...",42,0,4
104,2022-07-01,대책도 없고 생각도 없고,58,10,1
105,2022-07-01,개이버 와우~~~  성능보소.,33,0,3
106,2022-07-01,손가락 자를 사람들,26,7,1
107,2022-07-01,차베스도 죄명이처럼 경제부국 유능 뱀혀,40,2,11
108,2022-07-01,양털깎이는 이제부터가 진짜 시작,34,2,1
109,2022-07-01,3만전자. 게이트가 열린...,31,1,2
110,2022-07-01,역대 최악의 재난은 .....머니머니해도...,58,7,2
111,2022-07-01,삼성전자 바닥은,35,0,3
112,2022-07-01,답글:삼성전자 바닥은,19,0,0
113,2022-07-01,술 담배 끊었다,31,1,2
114,2022-07-01,나가요출신 템버린은 내수용,38,7,5
115,2022-07-01,지금 서울 강북 난리다 진짜!!!!!,77,6,2
116,2022-07-01,2021년 1월 11일에 매수하신분???,25,0,1
117,2022-07-01,경상도 사투리 ..토나올것 같아요..,60,6,2
118,2022-07-01,공매도 금지요구 한적 없고,50,1,6
119,2022-07-01,무능한게 ?교롭게도,31,6,2
120,2022-07-01,범죄자 템버린 왜케 설치냐,36,7,3
121,2022-07-01,가장 잘한사람은,29,1,1
122,2022-07-01,앞으로 다가올 악재,44,8,5
123,2022-07-01,조만간,31,1,4
124,2022-07-01,■■선제타격?■■,55,8,2
125,2022-07-01,이제부터 태풍이 몰아친다는데....,38,3,1
126,2022-07-01,경상도 사투리 아가씨들 귀여웠었다~,63,5,1
127,2022-07-01,북대서양 조약 횟집인줄 알고 갔다잔아,43,8,1
128,2022-07-01,분명한것은~,27,1,3
129,2022-07-01,보수만 집권하면 개폭락,53,13,3
130,2022-07-01,마 갱상도가 뭘그리 잘못했노? 말해보그라,51,1,7
131,2022-07-01,이름 따라갈래?,39,0,2
132,2022-07-01,난 전북인인데 2번 찍었다.,100,7,14
133,2022-07-01,죄명아 4호태풍 에어리가 온단다 니가 자...,43,2,7
