,날짜,댓글,조회수,좋아요,싫어요
106,2022-07-01,개돼지님들 오늘도 희망회로 잘돌리셧?니까...,70,0,0
107,2022-07-01,확실히 개미들 멍청하긴해 ㅋㅋ,122,3,2
108,2022-07-01,"희망도 없고,",93,3,0
109,2022-07-01,육카오,61,0,0
110,2022-07-01,이건 4짜가 맞다고 생각한다..,80,1,0
111,2022-07-01,답글:이건 4짜가 맞다고 생각한다..,38,0,0
112,2022-07-01,앵두헝이,107,0,0
113,2022-07-01,사자마자 물렸다,238,0,4
114,2022-07-01,카카오 적정가 알려준다,160,1,1
115,2022-07-01,참마 개미만 열라 사대는구나,107,3,0
116,2022-07-01,이거 코로나전에 2만원대 였다니깐,160,6,1
117,2022-07-01,고고고!!!,89,1,0
118,2022-07-01,40000까지빠지겠네,135,2,1
119,2022-07-01,한국주가 최저점을 향한 곡소리!,131,6,1
120,2022-07-01,숨도못쉬겟다 개미지옥이다 개카오,106,1,0
121,2022-07-01,개미들 잡아처먹는 카카오 ㄱㅅㅂ,110,3,0
122,2022-07-01,남씨 빡빡이,78,1,0
123,2022-07-01,전 저점깨고 투매나오고,235,1,0
124,2022-07-01,그러게 투표를 잘했어야지,92,4,3
125,2022-07-01,카카오 자회사 상장 할까?,97,3,0
126,2022-07-01,갬히가 아직 돈이많네.;  이제시작인데....,90,0,0
127,2022-07-01,666 악마 숫자까지 찍었으니. 고마 해...,87,0,0
128,2022-07-01,남궁훈대표,126,2,0
129,2022-07-01,공매도,83,0,0
130,2022-07-01,카카오 15만원 일때 뺀 나를 너무 칭찬...,152,2,1
131,2022-07-01,ㅋㅋㅋ이거 15마논 가겠냐,92,1,0
132,2022-07-01,무대책이,75,1,0
133,2022-07-01,{ 바보 둘이 입국 금지시켜라 ! },138,12,2
134,2022-07-01,물타려고 준비 했다가.....,191,1,0
135,2022-07-01,지하실이 끝이없네,79,1,0
136,2022-07-01,안녕하세요~~~~유 영,68,1,0
137,2022-07-01,{ 신용불량자에서 주식황제 },62,0,0
138,2022-07-01,까오야,54,0,0
139,2022-07-01,외국인한테 한국증시는 최고에요....,149,3,1
140,2022-07-01,국민주 카카오의 몰락,85,0,0
141,2022-07-01,왜 주식이 우상향할꺼라고만 생각하지?,104,0,0
142,2022-07-01,손절해.,67,0,0
143,2022-07-01,망했다  -50!!!,230,1,0
144,2022-07-01,적정가 670원,57,0,0
145,2022-07-01,베스파는 시작이다,59,0,0
146,2022-07-01,회사 부도난겨??,69,1,0
147,2022-07-01,얘는 아직시작도 안했네,101,0,0
148,2022-07-01,왜,63,1,0
149,2022-07-01,카카오 화이팅!,57,0,2
150,2022-07-01,■■■■■손절 유영두 어록■■■■■,154,7,0
151,2022-07-01,기아한테 시총밀림,56,2,0
152,2022-07-01,코로나이전에,55,1,0
153,2022-07-01,엉아가 조언하자면  앞자리 2가 나올때까...,63,0,1
154,2022-07-01,모빌까지 팔면ㅋㅋㅋㅋㅋㅋ,129,0,0
155,2022-07-01,앞으로 적정가가 얼마일까요 ??,60,0,0
156,2022-07-01,카카오,53,0,0
157,2022-07-01,나는 욕안하는 달인이다.,62,1,0
158,2022-07-01,삼성스팩6 28억 미수 몰빵 상한갓드!!...,98,0,1
159,2022-07-01,ㅎㅎㅎ,63,0,0
160,2022-07-01,재미나네~~ㅋㅋㅋ,69,0,0
161,2022-07-01,대통령 바뀐지 이제 2달인데,88,0,1
162,2022-07-01,기다린다,47,0,0
163,2022-07-01,올라가자,56,0,0
