,날짜,댓글,조회수,좋아요,싫어요
104,2022-06-30,챠트와  주변  여러상황을  종합해 보면...,729,6,5
105,2022-06-30,코스피지수는,207,1,0
106,2022-06-30,적정주가 7만2천원임,245,7,0
107,2022-06-30,현건 주가 조금 오른다고,338,2,4
108,2022-06-30,"사우디 640조 :네움시티"" 수혜주",498,4,2
109,2022-06-30,"답글:사우디 640조 :네움시티"" 수혜주",343,3,0
110,2022-06-30,철강 건자재 가격 하락중,249,4,2
111,2022-06-30,우와~허접한  남광토건 주가도 19% 급...,245,1,0
112,2022-06-30,종전가능성 있음,225,5,2
113,2022-06-30,원전 덕분에 ...,356,7,5
114,2022-06-30,인제 본전왔네 나쁜놈들,251,6,0
115,2022-06-30,"네옴시티, 우크라재건, 원전건설~~",316,7,0
116,2022-06-30,ㅋㅋㄱㅋㅋ,265,0,4
117,2022-06-30,5거래일 상승,231,4,1
118,2022-06-30,목표가 75000,278,8,1
119,2022-06-30,박살나요  도망쳐,282,1,8
120,2022-06-30,JP모건이 매물벽 쌓아놓고,216,4,0
121,2022-06-30,지금이 매물벽  많은거 아니가?,323,4,0
122,2022-06-30,네옴시티 640조원 중에....,297,6,0
123,2022-06-30,현건이,179,1,0
124,2022-06-30,답글:[삭제된 게시물의 답글]윤석열대통령이 5...,57,0,0
125,2022-06-30,물타기 성공,198,2,2
126,2022-06-30,일봉이,182,3,0
127,2022-06-30,현대건설 재료,627,10,0
128,2022-06-30,얘 전원주 땜에 오르는건가여??,535,2,0
129,2022-06-30,현건 옛 영광 찾으러 가즈아!!,162,1,0
130,2022-06-30,공매들아 니네들도 같이사자,130,1,0
131,2022-06-30,현대건설 현재 급등하는 이유,828,6,1
132,2022-06-30,Nuclear lunched detect...,297,4,1
133,2022-06-30,우크라 재건하러가자,289,10,2
134,2022-06-30,사우디 네옴시티 640조원 수주 관련주,469,5,0
135,2022-06-30,둔촌주공 전철 피하자’는  주택조합들의....,210,1,0
136,2022-06-30,현대건설 연일상승이,496,3,0
137,2022-06-29,앞으로의 증시 대세는 원전건설 및 수주 ...,734,7,1
138,2022-06-29,장 막판에,393,0,0
139,2022-06-29,당분간 증권시장의 선도주자는 건설주가대세...,361,3,2
140,2022-06-29,오 오늘 평단찍고 내려갔네,217,1,0
141,2022-06-29,내일 살짝 내려가는 기미 보이면 추매해야...,240,5,3
142,2022-06-29,'은밀한 유혹' 내부자거래의 모든 것!,227,5,0
143,2022-06-29,불기둥~,213,2,1
144,2022-06-29,전쟁재건  ♡ 주택250 만호 건설주 축...,295,4,1
145,2022-06-29,해외수주 주가폭락,511,3,2
146,2022-06-29,"하락, 폭락중인 코스피지수가",207,1,0
147,2022-06-29,둔촌주공 전철 피하자’...공사비 인상 ...,223,3,0
148,2022-06-29,사우디아리비아 640조 네옴시티,332,8,1
149,2022-06-29,ㅅㅂ 매입단가 4.9 졸라 처 물렸네,230,3,0
150,2022-06-29,원전 네옴시티640조 7조클럽,218,1,0
