,날짜,댓글,조회수,좋아요,싫어요
105,2022-07-04,이번주,144,0,1
106,2022-07-04,삼성전기가 왜 아렇게 소형주보다 못한 기...,130,1,0
107,2022-07-04,◆ 여기 인간들,129,1,0
108,2022-07-04,빌빌 거리네,99,0,1
109,2022-07-04,소형주보다 못한 쓰레기 잡주냐,95,0,1
110,2022-07-04,쓸어,153,3,1
111,2022-07-04,정말 가망이 없는회사네,97,0,1
112,2022-07-04,매도 매도하라,134,0,1
113,2022-07-04,계속 현금화하라고 사회운동을 펼치는 이유,141,0,0
114,2022-07-04,주정뱅이와 적대부가 다 말아먹네...,112,1,2
115,2022-07-04,전기,106,0,1
116,2022-07-04,삼성전자가 패키징 TF 사장 직속으로 만...,140,0,0
117,2022-07-04,에이 ㅅㅍ 7월 초부터,129,4,0
118,2022-07-04,또 개미가 존나사네,147,3,1
119,2022-07-04,■■민주당은 586 운동권 출신들을 모두...,125,0,5
120,2022-07-04,시초부터 52주 신저가 갱신하네,141,1,1
121,2022-07-04,오늘도 신저가?,124,2,1
122,2022-07-04,12,104,0,1
123,2022-07-04,"이재용 챙기는 전장사업…삼성전기 ""카메라...",150,1,2
124,2022-07-04,"성탄절이 토요일, 일요일일 경우 월요일을...",161,1,4
125,2022-07-04,약간호재,237,0,0
126,2022-07-04,뉴욕  빼앗긴  들에도  봄  은 오는 ...,204,2,1
127,2022-07-04,한때는  아직도  동학개미냐   난  서...,179,2,0
128,2022-07-04,지금 팔라는 것들은 뭐임?,328,1,1
129,2022-07-04,2022.7. 3. 카메라모듈 관련산업 ...,263,0,1
130,2022-07-04,지금은 사야할때 아닌가?,392,3,1
131,2022-07-03,폭락장,276,1,0
132,2022-07-03,윤정부 첫경제성적표,262,5,5
133,2022-07-03,반등시 빨리 현금화해야 합니다,347,1,0
134,2022-07-03,매수기회라고 하는말 해석,251,0,0
135,2022-07-03,고수들,288,2,0
136,2022-07-03,현 정부의 문제점,417,18,6
137,2022-07-03,5년간 400조 넘게 늘어난 나랏빚,379,4,1
