,날짜,댓글,조회수,좋아요,싫어요
106,2022-06-29,얘는 왜이모양임?,582,0,1
107,2022-06-29,와우,830,6,0
108,2022-06-29,무늬만 상승....,618,1,1
109,2022-06-29,지수가 ?이네,577,0,0
110,2022-06-29,"현대중공업, 카타르발 LNG선 '최대 1...",1084,6,0
111,2022-06-28,일봉ㆍ주봉ㆍ월봉이 다 붉은 기둥,458,0,0
112,2022-06-28,미주갤 념글 보고 왔습니다!,407,0,0
113,2022-06-28,글리젠도 안빠른데 왜 맨날 검색 상위인겨...,487,2,0
114,2022-06-28,직원 680이나 필요함. ㅎ,703,5,2
115,2022-06-28,한조  정상가,612,0,7
116,2022-06-28,야들아 형왔다,684,3,0
117,2022-06-28,★들  More power  to  yo...,708,4,4
118,2022-06-28,이 잡주 최고점 주기 4년,615,3,2
119,2022-06-28,수주소식에도 별다른반응없는 잡주,551,1,0
120,2022-06-28,오늘 하락금액이 지난주 금요일 코스피 5...,606,0,8
121,2022-06-28,너네들은 카타르 수주 언제 발표하니?,1014,7,2
122,2022-06-28,"현대중공업, 필리핀 국방부와 7449억원...",688,5,0
123,2022-06-28,98층,861,0,1
124,2022-06-28,오늘인가?,529,0,2
125,2022-06-28,역시젤 먼저 꼬라박네.ㅎ,651,3,2
126,2022-06-27,조금 올라도 팔지 말아요~^^,1160,30,1
127,2022-06-27,한조도 주식이다,476,4,0
128,2022-06-27,한국조선해양 목표주가,861,2,0
129,2022-06-27,조선업 빅사이클이랑 IMO 2050은 무...,651,0,0
130,2022-06-27,12만 언제오노,663,3,0
131,2022-06-27,도대체 누구 실적이야?,696,1,3
132,2022-06-27,은하철도,609,2,0
133,2022-06-27,목표가 상향 좀 해라.. 기관 니들이 인...,776,3,0
134,2022-06-27,아 여기서 손절내고팔면,925,7,0
135,2022-06-27,♥ 보고싶은 얼굴 우리 문재인 대통령,981,12,28
136,2022-06-27,아직 박스권입니다 설레발 ㄴ ㄴ,653,0,1
137,2022-06-27,$달러강세수혜\실적대박↑100만명×유료회...,718,8,0
138,2022-06-27,1.일단  대다수 개인주주들은  속았다 ...,928,1,2
