Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,26.049999,27.730000,25.379999,25.690001,25.690001,0
2022-06-02,25.730000,26.500000,24.330000,24.719999,24.719999,0
2022-06-03,24.910000,25.959999,24.760000,24.790001,24.790001,0
2022-06-06,25.370001,25.809999,24.820000,25.070000,25.070000,0
2022-06-07,25.540001,26.240000,23.879999,24.020000,24.020000,0
2022-06-08,24.370001,24.780001,23.740000,23.959999,23.959999,0
2022-06-09,24.290001,26.240000,23.820000,26.090000,26.090000,0
2022-06-10,26.260000,29.629999,26.049999,27.750000,27.750000,0
2022-06-13,31.370001,35.049999,31.290001,34.020000,34.020000,0
2022-06-14,33.009998,34.000000,32.060001,32.689999,32.689999,0
2022-06-15,32.389999,32.770000,27.760000,29.620001,29.620001,0
2022-06-16,30.350000,34.820000,30.350000,32.950001,32.950001,0
2022-06-17,32.840000,33.310001,30.469999,31.129999,31.129999,0
2022-06-21,30.629999,30.650000,29.330000,30.190001,30.190001,0
2022-06-22,31.450001,31.570000,28.780001,28.950001,28.950001,0
2022-06-23,29.290001,29.770000,28.740000,29.049999,29.049999,0
2022-06-24,29.070000,29.719999,26.830000,27.230000,27.230000,0
2022-06-27,28.299999,28.660000,26.930000,26.950001,26.950001,0
2022-06-28,26.900000,28.680000,26.469999,28.360001,28.360001,0
2022-06-29,28.799999,29.360001,27.850000,28.160000,28.160000,0
